District/City,New Cases,Total Cases,Cases Increase(%)
Bagerhat,0,3,0.0000
Bandarban,0,4,0.0000
Barguna,0,37,0.0000
Barishal,1,55,1.8519
Bhola,3,10,42.8571
Bogra,0,18,0.0000
B. Baria,0,57,0.0000
Chandpur,1,56,1.8182
Chapainawabganj,0,14,0.0000
Chattogram,46,266,20.9091
Chuadanga,2,25,8.6957
Cox's bazar,12,95,14.4578
Cumilla,11,182,6.4327
Dhaka,641,7509,9.3331
Dinajpur,0,42,0.0000
Faridpur,7,31,29.1667
Feni,1,9,12.5000
Gaibandha,0,25,0.0000
Gazipur,5,338,1.5015
Gopalganj,2,58,3.5714
Hobiganj,1,74,1.3699
Jamalpur,0,110,0.0000
Jessore,0,79,0.0000
Jhalokathi,0,13,0.0000
Jhenaidah,2,40,5.2632
Joypurhat,5,47,11.9048
Khagrachari,0,3,0.0000
Khulna,2,22,10.0000
Kishoreganj,3,205,1.4851
Kurigram,0,35,0.0000
Kushtia,2,23,9.5238
Laksmipur,1,59,1.7241
Lalmonirhat,0,13,0.0000
Madaripur,3,57,5.5556
Magura,2,14,16.6667
Manikganj,1,29,3.5714
Moulovi Bazar,3,36,9.0909
Meherpur,0,5,0.0000
Munshigonj,0,216,0.0000
Mymensingh,12,233,5.4299
Naogaon,8,33,32.0000
Narail,1,14,7.6923
Narayanganj,45,1243,3.7563
Narshingdi,1,172,0.5848
Natore,0,13,0.0000
Netrokona,2,70,2.9412
Nilphamari,0,41,0.0000
Noakhali,18,48,60.0000
Pabna,0,18,0.0000
Panchagar,0,10,0.0000
Potuakhali,1,29,3.5714
Pirojpur,0,7,0.0000
Rajbari,0,23,0.0000
Rajshahi,1,27,3.8462
Rangmati,0,4,0.0000
Rangpur,6,134,4.6875
Satkhira,0,4,0.0000
Shariatpur,8,65,14.0351
Sherpur,3,39,8.3333
Sirajganj,0,6,0.0000
Sunamganj,0,38,0.0000
Sylhet,0,36,0.0000
Tangail,0,31,0.0000
Thakurgaon,0,23,0.0000
