District/City,New Cases,Total Cases,Cases Increase(%)
Bagerhat,0,166,0.0000
Bandarban,0,312,0.0000
Barguna,24,245,10.8597
Barishal,0,1378,0.0000
Bhola,12,286,4.3796
Bogura,136,2918,4.8886
B. Baria,0,733,0.0000
Chandpur,14,856,1.6627
Chapainawabganj,0,101,0.0000
Chattogram,0,8035,0.0000
Chuadanga,7,212,3.4146
Cox's bazar,156,2506,6.6383
Cumilla,426,3500,13.8582
Dhaka,250,27609,0.9138
Dinajpur,0,563,0.0000
Faridpur,0,1827,0.0000
Feni,0,786,0.0000
Gaibandha,0,236,0.0000
Gazipur,0,3270,0.0000
Gopalganj,0,609,0.0000
Hobiganj,8,593,1.3675
Jamalpur,0,542,0.0000
Jessore,41,555,7.9767
Jhalokathi,0,193,0.0000
Jhenaidah,0,165,0.0000
Joypurhat,0,366,0.0000
Khagrachari,0,237,0.0000
Khulna,235,1786,15.1515
Kishoreganj,0,1083,0.0000
Kurigram,0,130,0.0000
Kushtia,0,535,0.0000
Laksmipur,28,823,3.5220
Lalmonirhat,0,76,0.0000
Madaripur,0,666,0.0000
Magura,0,97,0.0000
Manikganj,8,576,1.4085
Moulovi Bazar,0,414,0.0000
Meherpur,0,59,0.0000
Munshigonj,0,1944,0.0000
Mymensingh,0,1656,0.0000
Naogaon,1,452,0.2217
Narail,0,153,0.0000
Narayanganj,127,5148,2.5294
Narshingdi,0,1280,0.0000
Natore,9,167,5.6962
Netrokona,0,511,0.0000
Nilphamari,0,327,0.0000
Noakhali,45,2092,2.1983
Pabna,1,447,0.2242
Panchagar,0,132,0.0000
Patuakhali,25,391,6.8306
Pirojpur,0,155,0.0000
Rajbari,0,389,0.0000
Rajshahi,39,610,6.8301
Rangamati,0,256,0.0000
Rangpur,0,835,0.0000
Satkhira,0,159,0.0000
Shariatpur,0,472,0.0000
Sherpur,0,244,0.0000
Sirajganj,56,439,14.6214
Sunamganj,0,959,0.0000
Sylhet,0,2250,0.0000
Tangail,100,628,18.9394
Thakurgaon,0,196,0.0000
