District/City,New Cases,Total Cases,Cases Increase(%)
Bagerhat,0,1014,0.0000
Bandarban,0,829,0.0000
Barguna,0,974,0.0000
Barishal,19,4176,0.4571
Bhola,2,858,0.2336
Bogura,0,8386,0.0000
B. Baria,17,2556,0.6696
Chandpur,5,2488,0.2014
Chapainawabganj,0,801,0.0000
Chattogram,157,22883,0.6908
Chuadanga,0,1544,0.0000
Cox's bazar,1,5339,0.0187
Comilla,21,8247,0.2553
Dhaka,20,133278,0.0150
Dinajpur,9,3827,0.2357
Faridpur,16,7645,0.2097
Feni,4,2029,0.1975
Gaibandha,15,1275,1.1905
Gazipur,0,5954,0.0000
Gopalganj,1,2763,0.0362
Hobiganj,0,1871,0.0000
Jamalpur,1,1695,0.0590
Jashore,0,4227,0.0000
Jhalokathi,4,758,0.5305
Jhenaidah,0,2144,0.0000
Joypurhat,0,1163,0.0000
Khagrachari,0,722,0.0000
Khulna,0,6766,0.0000
Kishoreganj,0,3165,0.0000
Kurigram,0,951,0.0000
Kushtia,0,3492,0.0000
Laksmipur,4,2212,0.1812
Lalmonirhat,2,911,0.2200
Madaripur,8,1526,0.5270
Magura,0,980,0.0000
Manikganj,4,1601,0.2505
Moulvibazar,0,1812,0.0000
Meherpur,0,691,0.0000
Munshigonj,8,3844,0.2086
Mymensingh,6,3958,0.1518
Naogaon,0,1395,0.0000
Narail,0,1451,0.0000
Narayanganj,34,7447,0.4587
Narshingdi,4,2548,0.1572
Natore,0,1088,0.0000
Netrokona,1,767,0.1305
Nilphamari,4,1181,0.3398
Noakhali,6,5186,0.1158
Pabna,0,1270,0.0000
Panchagarh,6,710,0.8523
Patuakhali,0,1567,0.0000
Pirojpur,0,1121,0.0000
Rajbari,0,3224,0.0000
Rajshahi,0,5320,0.0000
Rangamati,10,972,1.0395
Rangpur,8,3289,0.2438
Satkhira,0,1124,0.0000
Shariatpur,0,1809,0.0000
Sherpur,1,511,0.1961
Sirajganj,0,2313,0.0000
Sunamganj,0,2436,0.0000
Sylhet,0,8075,0.0000
Tangail,6,3415,0.1760
Thakurgaon,6,1300,0.4637
