District/City,New Cases,Total Cases,Cases Increase(%)
Bagerhat,2,13,18.1818
Bandarban,1,9,12.5000
Barguna,1,38,2.7027
Barishal,3,64,4.9180
Bhola,0,13,0.0000
Bogra,27,90,42.8571
B. Baria,20,87,29.8507
Chandpur,4,90,4.6512
Chapainawabganj,3,44,7.3171
Chattogram,240,1340,21.8182
Chuadanga,0,89,0.0000
Cox's bazar,51,283,21.9828
Cumilla,25,425,6.2500
Dhaka,1182,13568,9.5430
Dinajpur,16,89,21.9178
Faridpur,27,133,25.4717
Feni,2,92,2.2222
Gaibandha,1,27,3.8462
Gazipur,22,561,4.0816
Gopalganj,15,133,12.7119
Hobiganj,21,133,18.7500
Jamalpur,23,175,15.1316
Jessore,0,116,0.0000
Jhalokathi,1,17,6.2500
Jhenaidah,1,47,2.1739
Joypurhat,1,98,1.0309
Khagrachari,13,22,144.4444
Khulna,8,45,21.6216
Kishoreganj,3,212,1.4354
Kurigram,0,58,0.0000
Kushtia,2,38,5.5556
Laksmipur,0,104,0.0000
Lalmonirhat,0,26,0.0000
Madaripur,1,72,1.4085
Magura,1,24,4.3478
Manikganj,11,69,18.9655
Moulovi Bazar,27,66,69.2308
Meherpur,0,5,0.0000
Munshigonj,32,432,8.0000
Mymensingh,24,375,6.8376
Naogaon,1,54,1.8868
Narail,4,23,21.0526
Narayanganj,84,1666,5.3097
Narshingdi,0,175,0.0000
Natore,6,50,13.6364
Netrokona,54,174,45.0000
Nilphamari,9,62,16.9811
Noakhali,81,280,40.7035
Pabna,1,29,3.5714
Panchagar,10,30,50.0000
Potuakhali,1,30,3.4483
Pirojpur,0,7,0.0000
Rajbari,3,36,9.0909
Rajshahi,11,49,28.9474
Rangmati,3,47,6.8182
Rangpur,44,369,13.5385
Satkhira,3,33,10.0000
Shariatpur,7,81,9.4595
Sherpur,1,67,1.5152
Sirajganj,0,9,0.0000
Sunamganj,7,59,13.4615
Sylhet,0,48,0.0000
Tangail,1,44,2.3256
Thakurgaon,7,39,21.8750
