District/City,New Cases,New Deaths,Total Cases,Total Deaths,Cases Increase(%)
Bagerhat,0,0,2,0,0.0000
Bandarban,0,0,4,0,0.0000
Barguna,0,0,33,1,0.0000
Barishal,3,0,44,0,7.3171
Bhola,1,0,6,0,20.0000
Bogra,0,0,18,0,0.0000
B. Baria,0,0,56,2,0.0000
Chandpur,10,0,37,0,37.0370
Chapainawabganj,0,0,2,0,0.0000
Chattogram,7,0,112,2,6.6667
Chuadanga,5,0,15,0,50.0000
Cox's bazar,1,0,40,0,2.5641
Cumilla,18,0,130,4,16.0714
Dhaka,485,2,5842,103,9.0536
Dinajpur,8,0,29,1,38.0952
Faridpur,6,0,21,0,40.0000
Feni,1,0,7,0,16.6667
Gaibandha,0,0,24,0,0.0000
Gazipur,2,0,328,0,0.6135
Gopalganj,1,0,45,0,2.2727
Hobiganj,1,0,70,0,1.4493
Jamalpur,5,0,79,3,6.7568
Jessore,1,0,75,0,1.3514
Jhalokathi,0,0,10,0,0.0000
Jhenaidah,6,0,33,0,22.2222
Joypurhat,0,0,34,1,0.0000
Khagrachari,0,0,2,0,0.0000
Khulna,0,0,17,0,0.0000
Kishoreganj,0,0,202,1,0.0000
Kurigram,0,0,22,0,0.0000
Kushtia,2,0,18,0,12.5000
Laksmipur,0,0,45,1,0.0000
Lalmonirhat,0,0,4,0,0.0000
Madaripur,5,0,53,2,10.4167
Magura,1,0,8,0,14.2857
Manikganj,4,0,28,0,16.6667
Moulovi Bazar,8,0,29,3,38.0952
Meherpur,1,0,4,1,33.3333
Munshigonj,9,0,170,4,5.5901
Mymensingh,29,0,198,3,17.1598
Naogaon,0,0,17,0,0.0000
Narail,0,0,13,0,0.0000
Narayanganj,17,1,1072,41,1.6114
Narshingdi,1,0,167,1,0.6024
Natore,1,0,11,0,10.0000
Netrokona,10,0,62,0,19.2308
Nilphamari,6,0,31,0,24.0000
Noakhali,1,0,22,1,4.7619
Pabna,1,0,16,1,6.6667
Panchagar,0,0,8,0,0.0000
Potuakhali,0,0,28,1,0.0000
Pirojpur,0,0,0,0,0.0000
Rajbari,1,0,23,0,4.5455
Rajshahi,1,0,26,2,4.0000
Rangamati,0,0,0,0,0.0000
Rangpur,7,0,82,1,9.3333
Satkhira,1,0,4,0,33.3333
Shariatpur,10,0,54,1,22.7273
Sherpur,1,0,27,0,3.8462
Sirajganj,0,0,4,0,0.0000
Sunamganj,0,0,35,0,0.0000
Sylhet,3,0,27,2,12.5000
Tangail,0,0,30,3,0.0000
Thakurgaon,1,0,20,0,5.2632
