District/City,New Cases,Total Cases,Cases Increase(%)
Bagerhat,0,979,0.0000
Bandarban,0,766,0.0000
Barguna,2,908,0.2208
Barishal,7,3445,0.2036
Bhola,2,720,0.2786
Bogura,3,7493,0.0401
B. Baria,0,2429,0.0000
Chandpur,0,2266,0.0000
Chapainawabganj,5,771,0.6527
Chattogram,0,18517,0.0000
Chuadanga,2,1412,0.1418
Cox's bazar,0,4644,0.0000
Comilla,0,7378,0.0000
Dhaka,0,97860,0.0000
Dinajpur,0,3328,0.0000
Faridpur,0,7054,0.0000
Feni,0,1829,0.0000
Gaibandha,0,1143,0.0000
Gazipur,0,5379,0.0000
Gopalganj,0,2536,0.0000
Hobiganj,0,1730,0.0000
Jamalpur,0,1516,0.0000
Jashore,9,3840,0.2349
Jhalokathi,0,693,0.0000
Jhenaidah,7,1901,0.3696
Joypurhat,0,1069,0.0000
Khagrachari,0,669,0.0000
Khulna,13,6296,0.2069
Kishoreganj,0,2750,0.0000
Kurigram,0,887,0.0000
Kushtia,8,3227,0.2485
Laksmipur,0,2109,0.0000
Lalmonirhat,0,842,0.0000
Madaripur,0,1451,0.0000
Magura,6,901,0.6704
Manikganj,0,1483,0.0000
Moulvibazar,0,1676,0.0000
Meherpur,1,600,0.1669
Munshigonj,0,3461,0.0000
Mymensingh,0,3637,0.0000
Naogaon,9,1304,0.6950
Narail,5,1316,0.3814
Narayanganj,0,6685,0.0000
Narshingdi,0,2269,0.0000
Natore,5,978,0.5139
Netrokona,0,715,0.0000
Nilphamari,0,1025,0.0000
Noakhali,0,4925,0.0000
Pabna,5,1118,0.4492
Panchagarh,0,596,0.0000
Patuakhali,1,1412,0.0709
Pirojpur,2,1065,0.1881
Rajbari,0,3013,0.0000
Rajshahi,15,4911,0.3064
Rangamati,0,893,0.0000
Rangpur,0,2749,0.0000
Satkhira,0,1093,0.0000
Shariatpur,0,1670,0.0000
Sherpur,0,463,0.0000
Sirajganj,5,2140,0.2342
Sunamganj,0,2304,0.0000
Sylhet,0,6713,0.0000
Tangail,0,3051,0.0000
Thakurgaon,0,1096,0.0000
