District/City,New Cases,Total Cases,Cases Increase(%)
Bagerhat,0,358,0.0000
Bandarban,179,507,54.5732
Barguna,0,438,0.0000
Barishal,0,1686,0.0000
Bhola,0,422,0.0000
Bogura,0,3923,0.0000
B. Baria,0,1509,0.0000
Chandpur,56,1422,4.0996
Chapainawabganj,0,227,0.0000
Chattogram,738,12669,6.1856
Chuadanga,0,323,0.0000
Cox's bazar,54,3073,1.7887
Cumilla,0,4167,0.0000
Dhaka,0,41950,0.0000
Dinajpur,0,675,0.0000
Faridpur,1149,3593,47.0131
Feni,0,1029,0.0000
Gaibandha,0,288,0.0000
Gazipur,70,3960,1.7995
Gopalganj,359,1158,44.9312
Hobiganj,0,899,0.0000
Jamalpur,0,740,0.0000
Jessore,0,1156,0.0000
Jhalokathi,0,242,0.0000
Jhenaidah,0,535,0.0000
Joypurhat,0,598,0.0000
Khagrachari,0,237,0.0000
Khulna,0,3300,0.0000
Kishoreganj,0,1767,0.0000
Kurigram,0,149,0.0000
Kushtia,0,1051,0.0000
Laksmipur,39,1185,3.4031
Lalmonirhat,0,126,0.0000
Madaripur,207,1039,24.8798
Magura,0,260,0.0000
Manikganj,0,716,0.0000
Moulovi Bazar,0,657,0.0000
Meherpur,0,112,0.0000
Munshigonj,0,2503,0.0000
Mymensingh,0,2052,0.0000
Naogaon,0,737,0.0000
Narail,0,435,0.0000
Narayanganj,23,5698,0.4053
Narshingdi,0,1664,0.0000
Natore,0,306,0.0000
Netrokona,0,551,0.0000
Nilphamari,0,353,0.0000
Noakhali,59,2697,2.2365
Pabna,0,627,0.0000
Panchagar,0,146,0.0000
Patuakhali,22,774,2.9255
Pirojpur,0,218,0.0000
Rajbari,251,814,44.5826
Rajshahi,0,1469,0.0000
Rangamati,26,495,5.5437
Rangpur,0,983,0.0000
Satkhira,0,432,0.0000
Shariatpur,175,843,26.1976
Sherpur,0,267,0.0000
Sirajganj,0,952,0.0000
Sunamganj,0,1170,0.0000
Sylhet,105,3323,3.2629
Tangail,0,1042,0.0000
Thakurgaon,0,206,0.0000
