District/City,New Cases,Total Cases,Cases Increase(%)
Bagerhat,0,46,0.0000
Bandarban,0,41,0.0000
Barguna,0,81,0.0000
Barishal,1,182,0.5525
Bhola,4,69,6.1538
Bogura,0,269,0.0000
B. Baria,27,186,16.9811
Chandpur,12,255,4.9383
Chapainawabganj,0,64,0.0000
Chattogram,123,2998,4.2783
Chuadanga,6,111,5.7143
Cox's bazar,0,969,0.0000
Cumilla,6,1195,0.5046
Dhaka,423,21717,1.9865
Dinajpur,0,182,0.0000
Faridpur,0,348,0.0000
Feni,0,257,0.0000
Gaibandha,3,63,5.0000
Gazipur,2,1165,0.1720
Gopalganj,0,287,0.0000
Hobiganj,0,175,0.0000
Jamalpur,0,294,0.0000
Jessore,1,165,0.6098
Jhalokathi,2,39,5.4054
Jhenaidah,0,57,0.0000
Joypurhat,11,183,6.3953
Khagrachari,0,47,0.0000
Khulna,4,159,2.5806
Kishoreganj,50,314,18.9394
Kurigram,0,74,0.0000
Kushtia,16,126,14.5455
Laksmipur,0,144,0.0000
Lalmonirhat,1,42,2.4390
Madaripur,0,203,0.0000
Magura,0,37,0.0000
Manikganj,0,167,0.0000
Moulovi Bazar,0,116,0.0000
Meherpur,0,30,0.0000
Munshigonj,5,985,0.5102
Mymensingh,31,571,5.7407
Naogaon,0,212,0.0000
Narail,4,34,13.3333
Narayanganj,57,2598,2.2432
Narshingdi,0,191,0.0000
Natore,3,67,4.6875
Netrokona,38,269,16.4502
Nilphamari,0,138,0.0000
Noakhali,0,838,0.0000
Pabna,19,84,29.2308
Panchagar,0,52,0.0000
Potuakhali,0,89,0.0000
Pirojpur,1,38,2.7027
Rajbari,0,90,0.0000
Rajshahi,0,81,0.0000
Rangmati,1,68,1.4925
Rangpur,23,511,4.7131
Satkhira,0,49,0.0000
Shariatpur,0,153,0.0000
Sherpur,0,121,0.0000
Sirajganj,0,42,0.0000
Sunamganj,23,217,11.8557
Sylhet,0,676,0.0000
Tangail,0,55,0.0000
Thakurgaon,0,74,0.0000
