District/City,New Cases,Total Cases,Cases Increase(%)
Bagerhat,1,873,0.1147
Bandarban,5,670,0.7519
Barguna,0,819,0.0000
Barishal,0,3010,0.0000
Bhola,0,645,0.0000
Bogura,110,6452,1.7345
B. Baria,33,2250,1.4885
Chandpur,9,2104,0.4296
Chapainawabganj,2,665,0.3017
Chattogram,150,16762,0.9030
Chuadanga,17,1188,1.4518
Cox's bazar,50,3956,1.2801
Comilla,87,6678,1.3200
Dhaka,635,82413,0.7765
Dinajpur,52,2916,1.8156
Faridpur,103,6290,1.6648
Feni,23,1654,1.4102
Gaibandha,10,913,1.1074
Gazipur,33,4798,0.6925
Gopalganj,0,2231,0.0000
Hobiganj,25,1503,1.6915
Jamalpur,0,1289,0.0000
Jashore,56,3065,1.8611
Jhalokathi,0,611,0.0000
Jhenaidah,41,1562,2.6956
Joypurhat,0,908,0.0000
Khagrachari,3,619,0.4870
Khulna,0,5506,0.0000
Kishoreganj,0,2478,0.0000
Kurigram,4,769,0.5229
Kushtia,27,2604,1.0477
Laksmipur,30,1892,1.6112
Lalmonirhat,14,671,2.1309
Madaripur,0,1280,0.0000
Magura,0,766,0.0000
Manikganj,0,1100,0.0000
Moulvibazar,38,1451,2.6893
Meherpur,12,490,2.5105
Munshigonj,0,3498,0.0000
Mymensingh,9,3286,0.2746
Naogaon,11,1122,0.9901
Narail,2,1130,0.1773
Narayanganj,20,6342,0.3164
Narshingdi,0,2050,0.0000
Natore,2,827,0.2424
Netrokona,1,680,0.1473
Nilphamari,4,880,0.4566
Noakhali,69,4394,1.5954
Pabna,23,981,2.4008
Panchagarh,5,509,0.9921
Patuakhali,0,1274,0.0000
Pirojpur,0,950,0.0000
Rajbari,35,2449,1.4499
Rajshahi,49,4478,1.1063
Rangamati,6,804,0.7519
Rangpur,23,2310,1.0057
Satkhira,0,984,0.0000
Shariatpur,0,1436,0.0000
Sherpur,4,415,0.9732
Sirajganj,11,1882,0.5879
Sunamganj,13,1983,0.6599
Sylhet,47,5524,0.8581
Tangail,26,2448,1.0735
Thakurgaon,17,867,2.0000
