District/City,New Cases,Total Cases,Cases Increase(%)
Bagerhat,15,358,4.3732
Bandarban,0,328,0.0000
Barguna,35,438,8.6849
Barishal,0,1686,0.0000
Bhola,8,422,1.9324
Bogura,160,3923,4.2519
B. Baria,0,1509,0.0000
Chandpur,25,1366,1.8643
Chapainawabganj,28,227,14.0704
Chattogram,334,11931,2.8801
Chuadanga,16,323,5.2117
Cox's bazar,48,3019,1.6156
Cumilla,0,4167,0.0000
Dhaka,0,41950,0.0000
Dinajpur,0,675,0.0000
Faridpur,0,2444,0.0000
Feni,0,1029,0.0000
Gaibandha,0,288,0.0000
Gazipur,0,3890,0.0000
Gopalganj,0,799,0.0000
Hobiganj,0,899,0.0000
Jamalpur,0,740,0.0000
Jessore,65,1156,5.9578
Jhalokathi,0,242,0.0000
Jhenaidah,46,535,9.4070
Joypurhat,48,598,8.7273
Khagrachari,0,237,0.0000
Khulna,104,3300,3.2541
Kishoreganj,9,1767,0.5119
Kurigram,0,149,0.0000
Kushtia,32,1051,3.1403
Laksmipur,23,1146,2.0481
Lalmonirhat,0,126,0.0000
Madaripur,0,832,0.0000
Magura,23,260,9.7046
Manikganj,0,716,0.0000
Moulovi Bazar,0,657,0.0000
Meherpur,4,112,3.7037
Munshigonj,0,2503,0.0000
Mymensingh,0,2052,0.0000
Naogaon,61,737,9.0237
Narail,13,435,3.0806
Narayanganj,57,5675,1.0146
Narshingdi,72,1664,4.5226
Natore,1,306,0.3279
Netrokona,0,551,0.0000
Nilphamari,0,353,0.0000
Noakhali,32,2638,1.2279
Pabna,28,627,4.6745
Panchagar,0,146,0.0000
Patuakhali,29,752,4.0111
Pirojpur,0,218,0.0000
Rajbari,0,563,0.0000
Rajshahi,0,1469,0.0000
Rangamati,60,469,14.6699
Rangpur,0,983,0.0000
Satkhira,2,432,0.4651
Shariatpur,0,668,0.0000
Sherpur,0,267,0.0000
Sirajganj,103,952,12.1319
Sunamganj,0,1170,0.0000
Sylhet,0,3218,0.0000
Tangail,43,1042,4.3043
Thakurgaon,0,206,0.0000
