District/City,New Cases,New Deaths,Total Cases,Total Deaths,Cases Increase(%)
Bagerhat,0,0,2,0,0.0000
Bandarban,3,0,7,0,75.0000
Barguna,3,0,33,1,10.0000
Barishal,0,0,40,0,0.0000
Bhola,0,0,5,0,0.0000
Bogra,0,0,19,0,0.0000
B. Baria,3,0,43,2,7.5000
Chandpur,1,0,15,0,7.1429
Chapainawabganj,0,0,2,0,0.0000
Chattogram,1,0,75,2,1.3514
Chuadanga,0,0,9,0,0.0000
Cox's bazar,0,0,19,0,0.0000
Cumilla,6,0,99,4,6.4516
Dhaka,232,1,4082,93,6.0260
Dinajpur,1,0,21,0,5.0000
Faridpur,1,0,13,0,8.3333
Feni,0,0,6,0,0.0000
Gaibandha,0,0,21,0,0.0000
Gazipur,0,0,322,0,0.0000
Gopalganj,0,0,45,0,0.0000
Hobiganj,2,0,55,0,3.7736
Jamalpur,5,0,66,3,8.1967
Jessore,0,0,63,0,0.0000
Jhalokathi,0,0,8,0,0.0000
Jhenaidah,0,0,19,0,0.0000
Joypurhat,1,0,33,1,3.1250
Khagrachhari,0,0,0,0,0.0000
Khulna,2,0,13,0,18.1818
Kishoreganj,1,0,201,1,0.5000
Kurigram,1,0,8,0,14.2857
Kushtia,1,0,16,0,6.6667
Laksmipur,6,0,41,1,17.1429
Lalmonirhat,0,0,3,0,0.0000
Madaripur,0,0,39,2,0.0000
Magura,1,0,8,0,14.2857
Manikganj,1,0,22,0,4.7619
Moulovi Bazar,0,0,12,2,0.0000
Meherpur,0,0,2,1,0.0000
Munshigonj,2,0,112,4,1.8182
Mymensingh,2,0,145,2,1.3986
Naogaon,0,0,15,0,0.0000
Narail,0,0,13,0,0.0000
Narayanganj,43,0,966,39,4.6587
Narshingdi,6,0,151,1,4.1379
Natore,0,0,9,0,0.0000
Netrokona,3,0,32,0,10.3448
Nilphamari,2,0,15,0,15.3846
Noakhali,3,0,9,1,50.0000
Pabna,0,0,10,1,0.0000
Panchagar,0,0,8,0,0.0000
Potuakhali,1,0,28,1,3.7037
Pirojpur,0,0,9,0,0.0000
Rajbari,2,0,19,0,11.7647
Rajshahi,1,0,20,2,5.2632
Rangamati,0,0,0,0,0.0000
Rangpur,7,0,38,0,22.5806
Satkhira,1,0,2,0,100.0000
Shariatpur,0,0,30,1,0.0000
Sherpur,1,0,26,0,4.0000
Sirajganj,0,0,3,0,0.0000
Sunamganj,1,0,29,0,3.5714
Sylhet,0,0,18,2,0.0000
Tangail,0,0,29,3,0.0000
Thakurgaon,1,0,17,0,6.2500
