District/City,New Cases,Total Cases,Cases Increase(%)
Bagerhat,5,42,13.5135
Bandarban,0,39,0.0000
Barguna,4,71,5.9701
Barishal,56,126,80.0000
Bhola,9,55,19.5652
Bogura,32,248,14.8148
B. Baria,5,121,4.3103
Chandpur,47,178,35.8779
Chapainawabganj,0,62,0.0000
Chattogram,197,2662,7.9919
Chuadanga,2,101,2.0202
Cox's bazar,89,887,11.1529
Cumilla,81,1038,8.4639
Dhaka,1083,19305,5.9434
Dinajpur,36,179,25.1748
Faridpur,17,240,7.6233
Feni,21,242,9.5023
Gaibandha,2,53,3.9216
Gazipur,43,1115,4.0112
Gopalganj,7,239,3.0172
Hobiganj,2,170,1.1905
Jamalpur,4,209,1.9512
Jessore,1,153,0.6579
Jhalokathi,0,30,0.0000
Jhenaidah,1,56,1.8182
Joypurhat,0,163,0.0000
Khagrachari,0,47,0.0000
Khulna,18,100,21.9512
Kishoreganj,0,233,0.0000
Kurigram,1,71,1.4286
Kushtia,11,85,14.8649
Laksmipur,1,142,0.7092
Lalmonirhat,0,38,0.0000
Madaripur,30,175,20.6897
Magura,0,29,0.0000
Manikganj,23,165,16.1972
Moulovi Bazar,0,100,0.0000
Meherpur,1,29,3.5714
Munshigonj,61,818,8.0581
Mymensingh,0,491,0.0000
Naogaon,0,194,0.0000
Narail,0,30,0.0000
Narayanganj,180,2333,8.3604
Narshingdi,3,184,1.6575
Natore,1,59,1.7241
Netrokona,13,225,6.1321
Nilphamari,17,138,14.0496
Noakhali,57,726,8.5202
Pabna,1,46,2.2222
Panchagar,1,52,1.9608
Potuakhali,5,87,6.0976
Pirojpur,9,34,36.0000
Rajbari,2,90,2.2727
Rajshahi,9,80,12.6761
Rangmati,0,66,0.0000
Rangpur,13,469,2.8509
Satkhira,1,47,2.1739
Shariatpur,1,125,0.8065
Sherpur,0,87,0.0000
Sirajganj,0,40,0.0000
Sunamganj,10,130,8.3333
Sylhet,47,465,11.2440
Tangail,1,53,1.9231
Thakurgaon,0,65,0.0000
