District/City,New Cases,Total Cases,Cases Increase(%)
Bagerhat,0,888,0.0000
Bandarban,0,685,0.0000
Barguna,10,856,1.1820
Barishal,35,3133,1.1298
Bhola,2,655,0.3063
Bogura,0,6559,0.0000
B. Baria,0,2286,0.0000
Chandpur,5,2127,0.2356
Chapainawabganj,0,688,0.0000
Chattogram,72,17052,0.4240
Chuadanga,0,1225,0.0000
Cox's bazar,5,4020,0.1245
Comilla,24,6794,0.3545
Dhaka,511,84469,0.6086
Dinajpur,31,3025,1.0354
Faridpur,0,6127,0.0000
Feni,5,1670,0.3003
Gaibandha,10,936,1.0799
Gazipur,93,4946,1.9163
Gopalganj,0,2320,0.0000
Hobiganj,0,1510,0.0000
Jamalpur,13,1342,0.9782
Jashore,0,3175,0.0000
Jhalokathi,6,639,0.9479
Jhenaidah,0,1604,0.0000
Joypurhat,0,913,0.0000
Khagrachari,0,626,0.0000
Khulna,0,5572,0.0000
Kishoreganj,31,2526,1.2425
Kurigram,5,787,0.6394
Kushtia,0,2718,0.0000
Laksmipur,9,1925,0.4697
Lalmonirhat,7,692,1.0219
Madaripur,6,1293,0.4662
Magura,0,777,0.0000
Manikganj,68,1218,5.9130
Moulvibazar,0,1468,0.0000
Meherpur,0,504,0.0000
Munshigonj,1,3191,0.0313
Mymensingh,15,3348,0.4500
Naogaon,0,1122,0.0000
Narail,0,1160,0.0000
Narayanganj,11,6392,0.1724
Narshingdi,4,2054,0.1951
Natore,0,827,0.0000
Netrokona,0,685,0.0000
Nilphamari,0,903,0.0000
Noakhali,57,4531,1.2740
Pabna,0,981,0.0000
Panchagarh,2,519,0.3868
Patuakhali,10,1314,0.7669
Pirojpur,0,974,0.0000
Rajbari,156,2605,6.3699
Rajshahi,0,4535,0.0000
Rangamati,3,829,0.3632
Rangpur,25,2374,1.0643
Satkhira,0,998,0.0000
Shariatpur,0,1541,0.0000
Sherpur,2,429,0.4684
Sirajganj,0,1911,0.0000
Sunamganj,0,2008,0.0000
Sylhet,0,5572,0.0000
Tangail,70,2594,2.7734
Thakurgaon,10,907,1.1148
