District/City,New Cases,New Deaths,Total Cases,Total Deaths,Cases Increase(%)
Bagerhat,0,0,2,0,0
Bandarban,0,0,7,0,0
Barguna,0,0,33,1,0
Barishal,0,0,40,0,0
Bhola,0,0,5,0,0
Bogra,0,0,19,0,0
B. Baria,0,0,43,2,0
Chandpur,0,0,15,0,0
Chapainawabganj,0,0,2,0,0
Chattogram,3,0,78,2,4
Chuadanga,0,0,9,0,0
Cox's bazar,0,0,37,0,0
Cumilla,5,0,104,4,5.0505
Dhaka,337,5,4419,98,8.2558
Dinajpur,0,0,21,0,0
Faridpur,0,0,13,0,0
Feni,0,0,6,0,0
Gaibandha,3,0,24,0,14.2857
Gazipur,0,0,322,0,0
Gopalganj,0,0,45,0,0
Hobiganj,12,0,67,0,21.8182
Jamalpur,0,0,66,3,0
Jessore,0,0,63,0,0
Jhalokathi,0,0,8,0,0
Jhenaidah,0,0,19,0,0
Joypurhat,0,0,33,1,0
Khagrachhari,0,0,2,0,0
Khulna,0,0,13,0,0
Kishoreganj,0,0,201,1,0
Kurigram,7,0,15,0,87.5
Kushtia,0,0,16,0,0
Laksmipur,0,0,41,1,0
Lalmonirhat,0,0,3,0,0
Madaripur,7,0,46,2,17.9487
Magura,0,0,8,0,0
Manikganj,0,0,22,0,0
Moulovi Bazar,5,0,17,2,41.6667
Meherpur,0,0,2,1,0
Munshigonj,10,0,122,4,8.9286
Mymensingh,0,0,145,2,0
Naogaon,1,0,16,0,6.6667
Narail,0,0,13,0,0
Narayanganj,21,0,987,39,2.1739
Narshingdi,0,0,151,1,0
Natore,0,0,9,0,0
Netrokona,0,0,32,0,0
Nilphamari,1,0,16,0,6.6667
Noakhali,0,0,9,1,0
Pabna,0,0,10,1,0
Panchagar,0,0,8,0,0
Potuakhali,0,0,28,1,0
Pirojpur,0,0,9,0,0
Rajbari,0,0,19,0,0
Rajshahi,0,0,20,2,0
Rangamati,0,0,0,0,0
Rangpur,7,0,45,0,18.4211
Satkhira,0,0,2,0,0
Shariatpur,9,0,39,1,30
Sherpur,0,0,26,0,0
Sirajganj,0,0,3,0,0
Sunamganj,4,0,33,0,13.7931
Sylhet,0,0,18,2,0
Tangail,0,0,29,3,0
Thakurgaon,0,0,17,0,0
