District/City,New Cases,Total Cases,Cases Increase(%)
Bagerhat,2,723,0.2774
Bandarban,2,601,0.3339
Barguna,0,714,0.0000
Barishal,0,2654,0.0000
Bhola,0,579,0.0000
Bogura,0,5302,0.0000
B. Baria,4,2027,0.1977
Chandpur,9,1934,0.4675
Chapainawabganj,0,548,0.0000
Chattogram,118,15342,0.7751
Chuadanga,20,868,2.3585
Cox's bazar,35,3616,0.9774
Cumilla,71,5938,1.2102
Dhaka,0,71211,0.0000
Dinajpur,42,2184,1.9608
Faridpur,0,5112,0.0000
Feni,14,1429,0.9894
Gaibandha,46,786,6.2162
Gazipur,0,4379,0.0000
Gopalganj,89,1902,4.9090
Hobiganj,5,1262,0.3978
Jamalpur,0,1017,0.0000
Jashore,69,2326,3.0572
Jhalokathi,0,532,0.0000
Jhenaidah,21,1144,1.8700
Joypurhat,0,816,0.0000
Khagrachari,3,564,0.5348
Khulna,84,4361,1.9640
Kishoreganj,0,2178,0.0000
Kurigram,10,603,1.6863
Kushtia,71,2145,3.4233
Laksmipur,49,1622,3.1151
Lalmonirhat,8,497,1.6360
Madaripur,22,1246,1.7974
Magura,20,609,3.3956
Manikganj,0,919,0.0000
Moulvibazar,13,1112,1.1829
Meherpur,3,270,1.1236
Munshigonj,32,3242,0.9969
Mymensingh,0,2937,0.0000
Naogaon,0,999,0.0000
Narail,18,1018,1.8000
Narayanganj,20,6061,0.3311
Narshingdi,0,1803,0.0000
Natore,0,628,0.0000
Netrokona,0,648,0.0000
Nilphamari,2,713,0.2813
Noakhali,100,3676,2.7964
Pabna,0,875,0.0000
Panchagarh,18,415,4.5340
Patuakhali,0,1110,0.0000
Pirojpur,0,784,0.0000
Rajbari,0,1590,0.0000
Rajshahi,0,3663,0.0000
Rangamati,8,700,1.1561
Rangpur,24,1912,1.2712
Satkhira,0,850,0.0000
Shariatpur,189,1397,15.6457
Sherpur,0,331,0.0000
Sirajganj,0,1599,0.0000
Sunamganj,15,1616,0.9369
Sylhet,34,4659,0.7351
Tangail,0,1870,0.0000
Thakurgaon,23,545,4.4061
