District/City,New Cases,Total Cases,Cases Increase(%)
Bagerhat,3,1003,0.3000
Bandarban,0,787,0.0000
Barguna,2,917,0.2186
Barishal,22,3591,0.6164
Bhola,2,739,0.2714
Bogura,4,7771,0.0515
B. Baria,0,2463,0.0000
Chandpur,0,2315,0.0000
Chapainawabganj,0,781,0.0000
Chattogram,0,19248,0.0000
Chuadanga,6,1454,0.4144
Cox's bazar,0,4810,0.0000
Comilla,0,7585,0.0000
Dhaka,0,101142,0.0000
Dinajpur,17,3467,0.4928
Faridpur,0,7206,0.0000
Feni,0,1874,0.0000
Gaibandha,2,1197,0.1674
Gazipur,0,5492,0.0000
Gopalganj,11,2612,0.4229
Hobiganj,1,1766,0.0567
Jamalpur,3,1590,0.1890
Jashore,24,3976,0.6073
Jhalokathi,5,712,0.7072
Jhenaidah,10,1963,0.5120
Joypurhat,11,1108,1.0027
Khagrachari,0,688,0.0000
Khulna,20,6463,0.3104
Kishoreganj,15,2856,0.5280
Kurigram,0,914,0.0000
Kushtia,23,3334,0.6947
Laksmipur,0,2150,0.0000
Lalmonirhat,3,884,0.3405
Madaripur,3,1475,0.2038
Magura,9,924,0.9836
Manikganj,0,1503,0.0000
Moulvibazar,4,1726,0.2323
Meherpur,1,627,0.1597
Munshigonj,0,3525,0.0000
Mymensingh,19,3736,0.5112
Naogaon,0,1327,0.0000
Narail,2,1361,0.1472
Narayanganj,11,6856,0.1607
Narshingdi,15,2364,0.6386
Natore,0,1010,0.0000
Netrokona,0,721,0.0000
Nilphamari,3,1086,0.2770
Noakhali,0,4997,0.0000
Pabna,4,1155,0.3475
Panchagarh,3,633,0.4762
Patuakhali,4,1441,0.2784
Pirojpur,3,1093,0.2752
Rajbari,0,3088,0.0000
Rajshahi,9,5005,0.1801
Rangamati,0,907,0.0000
Rangpur,11,2893,0.3817
Satkhira,0,1103,0.0000
Shariatpur,5,1720,0.2915
Sherpur,2,479,0.4193
Sirajganj,1,2190,0.0457
Sunamganj,2,2362,0.0847
Sylhet,7,6991,0.1002
Tangail,18,3177,0.5698
Thakurgaon,4,1150,0.3490
