District/City,New Cases,New Deaths,Total Cases,Total Deaths,Cases Increase(%)
Bagerhat,0,0,2,0,0.0000
Bandarban,0,0,7,0,0.0000
Barguna,3,0,36,1,9.0909
Barishal,1,0,41,0,2.5000
Bhola,0,0,5,0,0.0000
Bogra,0,0,19,0,0.0000
B. Baria,1,0,44,2,2.3256
Chandpur,0,0,15,0,0.0000
Chapainawabganj,0,0,2,0,0.0000
Chattogram,2,0,80,2,2.5641
Chuadanga,0,0,9,0,0.0000
Cox's bazar,0,0,19,0,0.0000
Cumilla,1,0,105,4,0.9615
Dhaka,190,0,4609,98,4.2996
Dinajpur,0,0,21,0,0.0000
Faridpur,0,0,13,0,0.0000
Feni,0,0,6,0,0.0000
Gaibandha,1,0,25,0,4.1667
Gazipur,2,0,324,0,0.6211
Gopalganj,0,0,45,0,0.0000
Hobiganj,0,0,67,0,0.0000
Jamalpur,7,0,73,3,10.6061
Jessore,0,0,63,0,0.0000
Jhalokathi,2,0,10,0,25.0000
Jhenaidah,0,0,19,0,0.0000
Joypurhat,0,0,33,1,0.0000
Khagrachhari,0,0,0,0,0.0000
Khulna,3,0,16,0,23.0769
Kishoreganj,0,0,201,1,0.0000
Kurigram,4,0,19,0,26.6667
Kushtia,0,0,16,0,0.0000
Laksmipur,1,0,42,1,2.4390
Lalmonirhat,0,0,3,0,0.0000
Madaripur,0,0,46,2,0.0000
Magura,0,0,8,0,0.0000
Manikganj,0,0,22,0,0.0000
Moulovi Bazar,0,0,17,2,0.0000
Meherpur,0,0,2,1,0.0000
Munshigonj,4,0,126,4,3.2787
Mymensingh,5,0,150,2,3.4483
Naogaon,0,0,16,0,0.0000
Narail,0,0,13,0,0.0000
Narayanganj,20,1,1007,40,2.0263
Narshingdi,1,0,152,1,0.6623
Natore,0,0,9,0,0.0000
Netrokona,9,0,41,0,28.1250
Nilphamari,0,0,16,0,0.0000
Noakhali,6,0,15,1,66.6667
Pabna,0,0,10,1,0.0000
Panchagar,0,0,8,0,0.0000
Potuakhali,0,0,28,1,0.0000
Pirojpur,1,0,10,0,11.1111
Rajbari,0,0,19,0,0.0000
Rajshahi,1,0,21,2,5.0000
Rangamati,0,0,0,0,0.0000
Rangpur,5,1,50,1,11.1111
Satkhira,0,0,2,0,0.0000
Shariatpur,0,0,35,1,0.0000
Sherpur,0,0,26,0,0.0000
Sirajganj,0,0,3,0,0.0000
Sunamganj,0,0,33,0,0.0000
Sylhet,0,0,18,2,0.0000
Tangail,0,0,29,3,0.0000
Thakurgaon,0,0,17,0,0.0000
