District/City,New Cases,Total Cases,Cases Increase(%)
Bagerhat,5,98,5.3763
Bandarban,4,77,5.4795
Barguna,0,87,0.0000
Barishal,0,224,0.0000
Bhola,80,197,68.3761
Bogura,0,269,0.0000
B. Baria,0,246,0.0000
Chandpur,51,420,13.8211
Chapainawabganj,0,67,0.0000
Chattogram,88,3768,2.3913
Chuadanga,1,137,0.7353
Cox's bazar,71,1411,5.2985
Cumilla,169,1854,10.0297
Dhaka,438,26239,1.6976
Dinajpur,0,184,0.0000
Faridpur,39,734,5.6115
Feni,25,523,5.0201
Gaibandha,6,112,5.6604
Gazipur,8,1278,0.6299
Gopalganj,7,396,1.7995
Hobiganj,0,178,0.0000
Jamalpur,0,362,0.0000
Jessore,11,264,4.3478
Jhalokathi,43,98,78.1818
Jhenaidah,8,104,8.3333
Joypurhat,0,183,0.0000
Khagrachari,4,88,4.7619
Khulna,0,406,0.0000
Kishoreganj,16,550,2.9963
Kurigram,0,89,0.0000
Kushtia,6,254,2.4194
Laksmipur,1,147,0.6849
Lalmonirhat,2,55,3.7736
Madaripur,24,396,6.4516
Magura,2,66,3.1250
Manikganj,0,169,0.0000
Moulovi Bazar,1,117,0.8621
Meherpur,1,39,2.6316
Munshigonj,60,1558,4.0053
Mymensingh,23,878,2.6901
Naogaon,0,213,0.0000
Narail,2,68,3.0303
Narayanganj,41,3011,1.3805
Narshingdi,6,225,2.7397
Natore,1,78,1.2987
Netrokona,6,308,1.9868
Nilphamari,0,138,0.0000
Noakhali,30,1057,2.9211
Pabna,11,188,6.2147
Panchagar,0,52,0.0000
Potuakhali,94,230,69.1176
Pirojpur,69,119,138.0000
Rajbari,7,148,4.9645
Rajshahi,1,91,1.1111
Rangmati,0,86,0.0000
Rangpur,12,651,1.8779
Satkhira,9,80,12.6761
Shariatpur,26,249,11.6592
Sherpur,0,167,0.0000
Sirajganj,0,46,0.0000
Sunamganj,47,490,10.6095
Sylhet,1,677,0.1479
Tangail,0,61,0.0000
Thakurgaon,1,75,1.3514
