District/City,New Cases,Total Cases,Cases Increase(%)
Bagerhat,0,1007,0.0000
Bandarban,1,792,0.1264
Barguna,3,921,0.3268
Barishal,19,3652,0.5230
Bhola,5,750,0.6711
Bogura,0,7799,0.0000
B. Baria,0,2470,0.0000
Chandpur,2,2332,0.0858
Chapainawabganj,0,782,0.0000
Chattogram,74,19883,0.3736
Chuadanga,5,1465,0.3425
Cox's bazar,1,4871,0.0205
Comilla,10,7694,0.1301
Dhaka,762,110551,0.6941
Dinajpur,0,3492,0.0000
Faridpur,0,7268,0.0000
Feni,9,1913,0.4727
Gaibandha,0,1200,0.0000
Gazipur,0,5562,0.0000
Gopalganj,0,2622,0.0000
Hobiganj,0,1776,0.0000
Jamalpur,0,1614,0.0000
Jashore,11,4019,0.2745
Jhalokathi,1,717,0.1397
Jhenaidah,2,1983,0.1010
Joypurhat,0,1118,0.0000
Khagrachari,0,704,0.0000
Khulna,9,6528,0.1381
Kishoreganj,0,2895,0.0000
Kurigram,0,914,0.0000
Kushtia,5,3367,0.1487
Laksmipur,1,2161,0.0463
Lalmonirhat,0,885,0.0000
Madaripur,0,1479,0.0000
Magura,1,931,0.1075
Manikganj,0,1527,0.0000
Moulvibazar,0,1742,0.0000
Meherpur,0,634,0.0000
Munshigonj,0,3555,0.0000
Mymensingh,0,3749,0.0000
Naogaon,0,1336,0.0000
Narail,1,1373,0.0729
Narayanganj,12,6935,0.1733
Narshingdi,0,2381,0.0000
Natore,0,1021,0.0000
Netrokona,0,724,0.0000
Nilphamari,0,1100,0.0000
Noakhali,5,5035,0.0994
Pabna,0,1177,0.0000
Panchagarh,0,641,0.0000
Patuakhali,7,1462,0.4811
Pirojpur,1,1095,0.0914
Rajbari,0,3113,0.0000
Rajshahi,0,5037,0.0000
Rangamati,2,918,0.2183
Rangpur,0,2909,0.0000
Satkhira,0,1107,0.0000
Shariatpur,0,1728,0.0000
Sherpur,0,484,0.0000
Sirajganj,0,2201,0.0000
Sunamganj,0,2371,0.0000
Sylhet,0,7169,0.0000
Tangail,0,3210,0.0000
Thakurgaon,0,1167,0.0000
