District/City,New Cases,Total Cases,Increase(%)
Bagerhat,0,1,0
Bandarban,0,4,0
Barguna,0,23,0
Barishal,0,35,0
Bhola,2,2,0
Bogra,0,10,0
B. Baria,0,25,0
Chandpur,0,10,0
Chapainawabganj,0,1,0
Chattogram,0,45,0
Chuadanga,0,8,0
Cox's bazar,0,6,0
Cumilla,0,32,0
Dhaka,0,2124,0
Dinajpur,0,13,0
Faridpur,0,8,0
Feni,0,3,0
Gaibandha,0,14,0
Gazipur,0,294,0
Gopalganj,0,43,0
Hobiganj,0,21,0
Jamalpur,0,30,0
Jessore,0,7,0
Jhalokathi,0,5,0
Jhenaidah,0,0,0
Joypurhat,0,4,0
Khagrachhari,0,0,0
Khulna,0,7,0
Kishoreganj,0,180,0
Kurigram,0,5,0
Kushtia,0,4,0
Laksmipur,0,27,0
Lalmonirhat,0,2,0
Madaripur,0,28,0
Magura,0,2,0
Manikganj,0,12,0
Moulovi Bazar,0,4,0
Meherpur,0,2,0
Munshigonj,0,63,0
Mymensingh,0,68,0
Naogaon,0,2,0
Narail,0,7,0
Narayanganj,0,566,0
Narshingdi,0,141,0
Natore,0,0,0
Netrokona,0,22,0
Nilphamari,0,10,0
Noakhali,0,4,0
Pabna,0,3,0
Panchagar,0,3,0
Potuakhali,0,16,0
Pirojpur,0,5,0
Rajbari,0,11,0
Rajshahi,0,9,0
Rangamati,0,0,0
Rangpur,0,15,0
Satkhira,0,0,0
Shariatpur,0,11,0
Sherpur,0,19,0
Sirajganj,0,2,0
Sunamganj,0,13,0
Sylhet,0,11,0
Tangail,0,21,0
Thakurgaon,0,8,0
