District/City,New Cases,Total Cases,Cases Increase(%)
Bagerhat,5,912,0.5513
Bandarban,0,694,0.0000
Barguna,4,867,0.4635
Barishal,10,3200,0.3135
Bhola,8,677,1.1958
Bogura,47,6846,0.6913
B. Baria,0,2299,0.0000
Chandpur,0,2141,0.0000
Chapainawabganj,12,716,1.7045
Chattogram,0,17299,0.0000
Chuadanga,6,1284,0.4695
Cox's bazar,0,4099,0.0000
Comilla,0,6881,0.0000
Dhaka,1145,86662,1.3389
Dinajpur,0,3077,0.0000
Faridpur,42,6564,0.6440
Feni,0,1690,0.0000
Gaibandha,0,1005,0.0000
Gazipur,0,5054,0.0000
Gopalganj,0,2353,0.0000
Hobiganj,8,1580,0.5089
Jamalpur,7,1376,0.5113
Jashore,40,3416,1.1848
Jhalokathi,3,649,0.4644
Jhenaidah,9,1697,0.5332
Joypurhat,0,959,0.0000
Khagrachari,0,634,0.0000
Khulna,30,5820,0.5181
Kishoreganj,0,2558,0.0000
Kurigram,0,810,0.0000
Kushtia,20,2851,0.7065
Laksmipur,0,1981,0.0000
Lalmonirhat,0,713,0.0000
Madaripur,20,1386,1.4641
Magura,7,828,0.8526
Manikganj,9,1250,0.7252
Moulvibazar,25,1536,1.6545
Meherpur,1,544,0.1842
Munshigonj,27,3253,0.8369
Mymensingh,20,3417,0.5888
Naogaon,25,1194,2.1386
Narail,4,1209,0.3320
Narayanganj,0,6468,0.0000
Narshingdi,6,2106,0.2857
Natore,0,876,0.0000
Netrokona,1,691,0.1449
Nilphamari,0,915,0.0000
Noakhali,0,4630,0.0000
Pabna,0,1020,0.0000
Panchagarh,0,530,0.0000
Patuakhali,0,1330,0.0000
Pirojpur,15,1010,1.5075
Rajbari,55,2706,2.0747
Rajshahi,15,4627,0.3252
Rangamati,0,844,0.0000
Rangpur,0,2457,0.0000
Satkhira,13,1049,1.2548
Shariatpur,0,1559,0.0000
Sherpur,2,437,0.4598
Sirajganj,19,1992,0.9630
Sunamganj,18,2094,0.8671
Sylhet,41,5847,0.7062
Tangail,45,2725,1.6791
Thakurgaon,0,923,0.0000
