District/City,New Cases,Total Cases,Cases Increase(%)
Bagerhat,18,1032,1.7751
Bandarban,28,857,3.3776
Barguna,33,1007,3.3881
Barishal,348,4524,8.3333
Bhola,54,912,6.2937
Bogura,758,9144,9.0389
B. Baria,134,2690,5.2426
Chandpur,92,2580,3.6977
Chapainawabganj,7,808,0.8739
Chattogram,4350,27233,19.0097
Chuadanga,71,1615,4.5984
Cox's bazar,235,5574,4.4016
Comilla,487,8734,5.9052
Dhaka,21261,154539,15.9524
Dinajpur,359,4186,9.3807
Faridpur,276,7921,3.6102
Feni,134,2163,6.6042
Gaibandha,104,1379,8.1569
Gazipur,660,6614,11.0850
Gopalganj,138,2901,4.9946
Hobiganj,51,1922,2.7258
Jamalpur,52,1747,3.0678
Jashore,295,4522,6.9789
Jhalokathi,42,800,5.5409
Jhenaidah,90,2234,4.1978
Joypurhat,65,1228,5.5890
Khagrachari,41,763,5.6787
Khulna,221,6987,3.2663
Kishoreganj,145,3310,4.5814
Kurigram,31,982,3.2597
Kushtia,187,3679,5.3551
Laksmipur,56,2268,2.5316
Lalmonirhat,28,939,3.0735
Madaripur,63,1589,4.1284
Magura,50,1030,5.1020
Manikganj,90,1691,5.6215
Moulvibazar,37,1849,2.0419
Meherpur,43,734,6.2229
Munshigonj,337,4181,8.7669
Mymensingh,274,4232,6.9227
Naogaon,91,1486,6.5233
Narail,56,1507,3.8594
Narayanganj,736,8183,9.8832
Narshingdi,137,2685,5.3768
Natore,70,1158,6.4338
Netrokona,35,802,4.5632
Nilphamari,82,1263,6.9433
Noakhali,218,5404,4.2036
Pabna,225,1495,17.7165
Panchagarh,38,748,5.3521
Patuakhali,61,1628,3.8928
Pirojpur,20,1141,1.7841
Rajbari,118,3342,3.6600
Rajshahi,302,5622,5.6767
Rangamati,105,1077,10.8025
Rangpur,451,3740,13.7124
Satkhira,23,1147,2.0463
Shariatpur,31,1840,1.7137
Sherpur,23,534,4.5010
Sirajganj,140,2453,6.0527
Sunamganj,48,2484,1.9704
Sylhet,594,8669,7.3560
Tangail,139,3554,4.0703
Thakurgaon,120,1420,9.2308
