District/City,New Cases,Total Cases,Cases Increase(%)
Bagerhat,0,977,0.0000
Bandarban,0,754,0.0000
Barguna,3,902,0.3337
Barishal,12,3406,0.3536
Bhola,6,716,0.8451
Bogura,13,7378,0.1765
B. Baria,7,2423,0.2897
Chandpur,7,2248,0.3124
Chapainawabganj,0,763,0.0000
Chattogram,46,18315,0.2518
Chuadanga,7,1395,0.5043
Cox's bazar,12,4551,0.2644
Comilla,17,7313,0.2330
Dhaka,13,95682,0.0136
Dinajpur,0,3299,0.0000
Faridpur,22,7004,0.3151
Feni,7,1812,0.3878
Gaibandha,0,1127,0.0000
Gazipur,22,5356,0.4124
Gopalganj,8,2532,0.3170
Hobiganj,9,1717,0.5269
Jamalpur,3,1490,0.2017
Jashore,24,3771,0.6405
Jhalokathi,3,691,0.4360
Jhenaidah,12,1869,0.6462
Joypurhat,1,1058,0.0946
Khagrachari,0,667,0.0000
Khulna,12,6260,0.1921
Kishoreganj,9,2715,0.3326
Kurigram,0,885,0.0000
Kushtia,21,3177,0.6654
Laksmipur,6,2099,0.2867
Lalmonirhat,0,839,0.0000
Madaripur,0,1444,0.0000
Magura,0,887,0.0000
Manikganj,39,1500,2.6694
Moulvibazar,5,1668,0.3007
Meherpur,0,593,0.0000
Munshigonj,0,3430,0.0000
Mymensingh,7,3613,0.1941
Naogaon,10,1286,0.7837
Narail,2,1299,0.1542
Narayanganj,6,6657,0.0902
Narshingdi,6,2260,0.2662
Natore,0,948,0.0000
Netrokona,0,709,0.0000
Nilphamari,0,1015,0.0000
Noakhali,9,4894,0.1842
Pabna,12,1101,1.1019
Panchagarh,0,591,0.0000
Patuakhali,1,1384,0.0723
Pirojpur,0,1055,0.0000
Rajbari,20,2998,0.6716
Rajshahi,10,4847,0.2067
Rangamati,3,885,0.3401
Rangpur,0,2721,0.0000
Satkhira,0,1091,0.0000
Shariatpur,0,1652,0.0000
Sherpur,0,462,0.0000
Sirajganj,5,2112,0.2373
Sunamganj,7,2299,0.3054
Sylhet,48,6648,0.7273
Tangail,17,3017,0.5667
Thakurgaon,0,1064,0.0000
