District/City,New Cases,Total Cases,Cases Increase(%)
Bagerhat,2,574,0.3497
Bandarban,33,540,6.5089
Barguna,0,511,0.0000
Barishal,0,1686,0.0000
Bhola,0,487,0.0000
Bogura,182,4737,3.9956
B. Baria,396,1905,26.2425
Chandpur,91,1786,5.3687
Chapainawabganj,32,448,7.6923
Chattogram,112,14213,0.7943
Chuadanga,24,579,4.3243
Cox's bazar,98,3327,3.0350
Cumilla,1240,5407,29.7576
Dhaka,0,52224,0.0000
Dinajpur,0,1308,0.0000
Faridpur,0,2444,0.0000
Feni,219,1248,21.2828
Gaibandha,0,578,0.0000
Gazipur,32,4198,0.7681
Gopalganj,0,799,0.0000
Hobiganj,0,1055,0.0000
Jamalpur,0,854,0.0000
Jessore,2,1740,0.1151
Jhalokathi,0,242,0.0000
Jhenaidah,35,879,4.1469
Joypurhat,43,708,6.4662
Khagrachari,101,515,24.3961
Khulna,64,4243,1.5315
Kishoreganj,30,1995,1.5267
Kurigram,0,377,0.0000
Kushtia,48,1528,3.2432
Laksmipur,16,1364,1.1869
Lalmonirhat,0,294,0.0000
Madaripur,0,832,0.0000
Magura,0,420,0.0000
Manikganj,0,840,0.0000
Moulovi Bazar,0,839,0.0000
Meherpur,11,164,7.1895
Munshigonj,518,3021,20.6952
Mymensingh,581,2633,28.3138
Naogaon,15,936,1.6287
Narail,0,700,0.0000
Narayanganj,17,5880,0.2900
Narshingdi,78,1926,4.2208
Natore,80,477,20.1511
Netrokona,0,623,0.0000
Nilphamari,0,600,0.0000
Noakhali,33,3089,1.0798
Pabna,21,843,2.5547
Panchagar,0,233,0.0000
Patuakhali,0,905,0.0000
Pirojpur,0,218,0.0000
Rajbari,0,563,0.0000
Rajshahi,0,1469,0.0000
Rangamati,109,620,21.3307
Rangpur,0,1539,0.0000
Satkhira,2,692,0.2899
Shariatpur,0,668,0.0000
Sherpur,0,240,0.0000
Sirajganj,90,1384,6.9552
Sunamganj,0,1278,0.0000
Sylhet,0,3787,0.0000
Tangail,38,1594,2.4422
Thakurgaon,0,301,0.0000
