District/City,New Cases,New Deaths,Total Cases,Total Deaths,Cases Increase(%)
Bagerhat,0,0,2,0,0.0000
Bandarban,0,0,7,0,0.0000
Barguna,0,0,36,1,0.0000
Barishal,0,0,41,0,0.0000
Bhola,0,0,5,0,0.0000
Bogra,0,0,19,0,0.0000
B. Baria,11,0,55,2,25.0000
Chandpur,0,0,15,0,0.0000
Chapainawabganj,0,0,2,0,0.0000
Chattogram,2,0,82,2,2.5000
Chuadanga,0,0,9,0,0.0000
Cox's bazar,0,0,37,0,0.0000
Cumilla,0,0,105,4,0.0000
Dhaka,286,3,4895,101,6.2053
Dinajpur,0,0,21,0,0.0000
Faridpur,1,0,14,0,7.6923
Feni,0,0,6,0,0.0000
Gaibandha,0,0,25,0,0.0000
Gazipur,1,0,325,0,0.3086
Gopalganj,2,0,47,0,4.4444
Hobiganj,2,0,69,0,2.9851
Jamalpur,0,0,73,3,0.0000
Jessore,0,0,63,0,0.0000
Jhalokathi,0,0,10,0,0.0000
Jhenaidah,0,0,19,0,0.0000
Joypurhat,0,0,33,1,0.0000
Khagrachari,0,0,2,0,0.0000
Khulna,0,0,16,0,0.0000
Kishoreganj,1,0,202,1,0.4975
Kurigram,0,0,19,0,0.0000
Kushtia,0,0,16,0,0.0000
Laksmipur,1,0,43,1,2.3810
Lalmonirhat,0,0,3,0,0.0000
Madaripur,1,0,47,2,2.1739
Magura,0,0,8,0,0.0000
Manikganj,0,0,22,0,0.0000
Moulovi Bazar,2,1,19,3,11.7647
Meherpur,0,0,2,1,0.0000
Munshigonj,1,0,127,4,0.7937
Mymensingh,16,1,166,3,10.6667
Naogaon,0,0,16,0,0.0000
Narail,0,0,13,0,0.0000
Narayanganj,14,0,1021,40,1.3903
Narshingdi,2,0,154,1,1.3158
Natore,0,0,9,0,0.0000
Netrokona,10,0,51,0,24.3902
Nilphamari,2,0,18,0,12.5000
Noakhali,2,0,17,1,13.3333
Pabna,1,0,11,1,10.0000
Panchagar,0,0,8,0,0.0000
Potuakhali,0,0,28,1,0.0000
Pirojpur,0,0,10,0,0.0000
Rajbari,0,0,19,0,0.0000
Rajshahi,0,0,21,2,0.0000
Rangamati,0,0,0,0,0.0000
Rangpur,11,0,61,1,22.0000
Satkhira,0,0,2,0,0.0000
Shariatpur,5,0,40,1,14.2857
Sherpur,0,0,26,0,0.0000
Sirajganj,1,0,4,0,33.3333
Sunamganj,0,0,33,0,0.0000
Sylhet,0,0,18,2,0.0000
Tangail,1,0,30,3,3.4483
Thakurgaon,0,0,17,0,0.0000
