District/City,New Cases,Total Cases,Cases Increase(%)
Bagerhat,3,11,37.5000
Bandarban,1,7,16.6667
Barguna,0,37,0.0000
Barishal,0,60,0.0000
Bhola,1,13,8.3333
Bogra,11,56,24.4444
B. Baria,0,67,0.0000
Chandpur,5,86,6.1728
Chapainawabganj,21,36,140.0000
Chattogram,245,940,35.2518
Chuadanga,2,89,2.2989
Cox's bazar,14,199,7.5676
Cumilla,73,371,24.4966
Dhaka,1023,10878,10.3805
Dinajpur,11,67,19.6429
Faridpur,13,69,23.2143
Feni,14,90,18.4211
Gaibandha,0,26,0.0000
Gazipur,8,535,1.5180
Gopalganj,32,115,38.5542
Hobiganj,0,112,0.0000
Jamalpur,32,152,26.6667
Jessore,1,109,0.9259
Jhalokathi,0,16,0.0000
Jhenaidah,1,45,2.2727
Joypurhat,28,97,40.5797
Khagrachari,2,9,28.5714
Khulna,6,33,22.2222
Kishoreganj,0,207,0.0000
Kurigram,4,58,7.4074
Kushtia,5,32,18.5185
Laksmipur,12,101,13.4831
Lalmonirhat,2,25,8.6957
Madaripur,6,69,9.5238
Magura,0,23,0.0000
Manikganj,20,58,52.6316
Moulovi Bazar,0,39,0.0000
Meherpur,0,5,0.0000
Munshigonj,54,383,16.4134
Mymensingh,45,340,15.2542
Naogaon,0,45,0.0000
Narail,0,16,0.0000
Narayanganj,45,1508,3.0759
Narshingdi,0,174,0.0000
Natore,30,44,214.2857
Netrokona,4,112,3.7037
Nilphamari,1,53,1.9231
Noakhali,55,168,48.6726
Pabna,1,20,5.2632
Panchagar,5,20,33.3333
Potuakhali,0,29,0.0000
Pirojpur,0,7,0.0000
Rajbari,0,27,0.0000
Rajshahi,2,34,6.2500
Rangmati,0,27,0.0000
Rangpur,14,286,5.1471
Satkhira,24,30,400.0000
Shariatpur,2,73,2.8169
Sherpur,23,65,54.7619
Sirajganj,1,8,14.2857
Sunamganj,0,46,0.0000
Sylhet,0,48,0.0000
Tangail,1,41,2.5000
Thakurgaon,2,29,7.4074
