District/City,New Cases,Total Cases,Cases Increase(%)
Bagerhat,0,6,0.0000
Bandarban,0,5,0.0000
Barguna,0,37,0.0000
Barishal,0,60,0.0000
Bhola,0,11,0.0000
Bogra,0,29,0.0000
B. Baria,0,60,0.0000
Chandpur,2,79,2.5974
Chapainawabganj,0,15,0.0000
Chattogram,66,619,11.9349
Chuadanga,38,79,92.6829
Cox's bazar,22,161,15.8273
Cumilla,19,278,7.3359
Dhaka,345,9190,3.9005
Dinajpur,6,53,12.7660
Faridpur,4,55,7.8431
Feni,22,48,84.6154
Gaibandha,0,26,0.0000
Gazipur,19,509,3.8776
Gopalganj,4,82,5.1282
Hobiganj,0,100,0.0000
Jamalpur,5,118,4.4248
Jessore,17,106,19.1011
Jhalokathi,0,14,0.0000
Jhenaidah,1,44,2.3256
Joypurhat,13,69,23.2143
Khagrachari,0,7,0.0000
Khulna,0,23,0.0000
Kishoreganj,0,206,0.0000
Kurigram,1,42,2.4390
Kushtia,0,25,0.0000
Laksmipur,0,88,0.0000
Lalmonirhat,5,22,29.4118
Madaripur,0,61,0.0000
Magura,1,23,4.5455
Manikganj,0,29,0.0000
Moulovi Bazar,0,37,0.0000
Meherpur,0,5,0.0000
Munshigonj,0,297,0.0000
Mymensingh,8,284,2.8986
Naogaon,5,45,12.5000
Narail,0,15,0.0000
Narayanganj,35,1426,2.5162
Narshingdi,0,173,0.0000
Natore,0,14,0.0000
Netrokona,2,91,2.2472
Nilphamari,7,50,16.2791
Noakhali,14,103,15.7303
Pabna,0,18,0.0000
Panchagar,4,15,36.3636
Potuakhali,0,29,0.0000
Pirojpur,0,7,0.0000
Rajbari,0,27,0.0000
Rajshahi,1,31,3.3333
Rangmati,1,26,4.0000
Rangpur,40,213,23.1214
Satkhira,0,5,0.0000
Shariatpur,0,67,0.0000
Sherpur,0,41,0.0000
Sirajganj,1,7,16.6667
Sunamganj,1,44,2.3256
Sylhet,1,40,2.5641
Tangail,0,35,0.0000
Thakurgaon,3,27,12.5000
