District/City,New Cases,Total Cases,Cases Increase(%)
Bagerhat,0,18,0.0000
Bandarban,3,29,11.5385
Barguna,0,44,0.0000
Barishal,2,70,2.9412
Bhola,0,23,0.0000
Bogura,0,196,0.0000
B. Baria,0,116,0.0000
Chandpur,0,109,0.0000
Chapainawabganj,2,54,3.8462
Chattogram,88,2226,4.1160
Chuadanga,1,89,1.1364
Cox's bazar,60,568,11.8110
Cumilla,18,771,2.3904
Dhaka,249,16452,1.5368
Dinajpur,1,117,0.8621
Faridpur,0,172,0.0000
Feni,44,153,40.3670
Gaibandha,0,40,0.0000
Gazipur,6,635,0.9539
Gopalganj,0,168,0.0000
Hobiganj,0,165,0.0000
Jamalpur,0,206,0.0000
Jessore,0,144,0.0000
Jhalokathi,3,30,11.1111
Jhenaidah,0,48,0.0000
Joypurhat,0,135,0.0000
Khagrachari,0,35,0.0000
Khulna,0,73,0.0000
Kishoreganj,0,233,0.0000
Kurigram,0,64,0.0000
Kushtia,8,51,18.6047
Laksmipur,0,140,0.0000
Lalmonirhat,0,36,0.0000
Madaripur,0,115,0.0000
Magura,0,25,0.0000
Manikganj,1,134,0.7519
Moulovi Bazar,0,103,0.0000
Meherpur,1,14,7.6923
Munshigonj,40,698,6.0790
Mymensingh,65,489,15.3302
Naogaon,0,102,0.0000
Narail,0,26,0.0000
Narayanganj,113,2057,5.8128
Narshingdi,0,176,0.0000
Natore,0,53,0.0000
Netrokona,0,211,0.0000
Nilphamari,0,90,0.0000
Noakhali,41,519,8.5774
Pabna,0,38,0.0000
Panchagar,0,40,0.0000
Potuakhali,0,40,0.0000
Pirojpur,1,24,4.3478
Rajbari,0,68,0.0000
Rajshahi,2,59,3.5088
Rangmati,0,65,0.0000
Rangpur,0,409,0.0000
Satkhira,0,43,0.0000
Shariatpur,0,119,0.0000
Sherpur,0,86,0.0000
Sirajganj,1,19,5.5556
Sunamganj,0,103,0.0000
Sylhet,0,292,0.0000
Tangail,0,52,0.0000
Thakurgaon,0,61,0.0000
