District/City,New Cases,Total Cases,Cases Increase(%)
Bagerhat,7,67,11.6667
Bandarban,14,65,27.4510
Barguna,0,81,0.0000
Barishal,16,201,8.6486
Bhola,0,80,0.0000
Bogura,0,269,0.0000
B. Baria,28,224,14.2857
Chandpur,7,263,2.7344
Chapainawabganj,0,66,0.0000
Chattogram,126,3277,3.9987
Chuadanga,4,124,3.3333
Cox's bazar,99,1100,9.8901
Cumilla,171,1379,14.1556
Dhaka,785,23497,3.4563
Dinajpur,0,182,0.0000
Faridpur,49,503,10.7930
Feni,70,360,24.1379
Gaibandha,4,76,5.5556
Gazipur,36,1205,3.0796
Gopalganj,4,336,1.2048
Hobiganj,0,175,0.0000
Jamalpur,13,334,4.0498
Jessore,14,191,7.9096
Jhalokathi,5,47,11.9048
Jhenaidah,4,68,6.2500
Joypurhat,0,183,0.0000
Khagrachari,10,57,21.2766
Khulna,41,256,19.0698
Kishoreganj,69,451,18.0628
Kurigram,3,78,4.0000
Kushtia,18,160,12.6761
Laksmipur,1,145,0.6944
Lalmonirhat,2,45,4.6512
Madaripur,62,286,27.6786
Magura,5,51,10.8696
Manikganj,0,167,0.0000
Moulovi Bazar,0,116,0.0000
Meherpur,0,35,0.0000
Munshigonj,182,1382,15.1667
Mymensingh,93,757,14.0060
Naogaon,0,212,0.0000
Narail,17,53,47.2222
Narayanganj,29,2782,1.0534
Narshingdi,3,198,1.5385
Natore,2,69,2.9851
Netrokona,1,280,0.3584
Nilphamari,0,138,0.0000
Noakhali,42,907,4.8555
Pabna,0,119,0.0000
Panchagar,0,52,0.0000
Potuakhali,1,91,1.1111
Pirojpur,2,43,4.8780
Rajbari,9,110,8.9109
Rajshahi,4,87,4.8193
Rangmati,9,77,13.2353
Rangpur,21,551,3.9623
Satkhira,6,60,11.1111
Shariatpur,16,173,10.1911
Sherpur,22,149,17.3228
Sirajganj,2,45,4.6512
Sunamganj,48,299,19.1235
Sylhet,0,676,0.0000
Tangail,0,56,0.0000
Thakurgaon,0,74,0.0000
