District/City,New Cases,Total Cases,Cases Increase(%)
Bagerhat,0,1013,0.0000
Bandarban,0,808,0.0000
Barguna,0,934,0.0000
Barishal,17,3883,0.4397
Bhola,4,803,0.5006
Bogura,20,8107,0.2473
B. Baria,0,2509,0.0000
Chandpur,13,2415,0.5412
Chapainawabganj,0,792,0.0000
Chattogram,80,21378,0.3756
Chuadanga,4,1520,0.2639
Cox's bazar,6,5172,0.1161
Comilla,16,7988,0.2007
Dhaka,725,123729,0.5894
Dinajpur,16,3682,0.4364
Faridpur,13,7464,0.1745
Feni,7,1970,0.3566
Gaibandha,1,1227,0.0816
Gazipur,2,5739,0.0349
Gopalganj,11,2694,0.4100
Hobiganj,0,1821,0.0000
Jamalpur,1,1669,0.0600
Jashore,2,4115,0.0486
Jhalokathi,1,731,0.1370
Jhenaidah,7,2082,0.3373
Joypurhat,0,1133,0.0000
Khagrachari,0,715,0.0000
Khulna,7,6669,0.1051
Kishoreganj,6,3050,0.1971
Kurigram,2,941,0.2130
Kushtia,3,3446,0.0871
Laksmipur,3,2196,0.1368
Lalmonirhat,0,898,0.0000
Madaripur,0,1497,0.0000
Magura,1,946,0.1058
Manikganj,7,1581,0.4447
Moulvibazar,0,1786,0.0000
Meherpur,7,665,1.0638
Munshigonj,11,3732,0.2956
Mymensingh,5,3865,0.1295
Naogaon,0,1358,0.0000
Narail,4,1420,0.2825
Narayanganj,14,7192,0.1950
Narshingdi,9,2477,0.3647
Natore,3,1055,0.2852
Netrokona,3,740,0.4071
Nilphamari,3,1163,0.2586
Noakhali,3,5115,0.0587
Pabna,0,1217,0.0000
Panchagarh,3,678,0.4444
Patuakhali,2,1534,0.1305
Pirojpur,2,1109,0.1807
Rajbari,0,3178,0.0000
Rajshahi,11,5181,0.2128
Rangamati,1,934,0.1072
Rangpur,10,3104,0.3232
Satkhira,5,1114,0.4509
Shariatpur,0,1784,0.0000
Sherpur,0,498,0.0000
Sirajganj,0,2269,0.0000
Sunamganj,0,2408,0.0000
Sylhet,0,7664,0.0000
Tangail,5,3310,0.1513
Thakurgaon,2,1254,0.1597
