District/City,New Cases,Total Cases,Cases Increase(%)
Bagerhat,0,68,0.0000
Bandarban,1,71,1.4286
Barguna,3,87,3.5714
Barishal,6,211,2.9268
Bhola,0,90,0.0000
Bogura,0,269,0.0000
B. Baria,0,245,0.0000
Chandpur,44,314,16.2963
Chapainawabganj,0,67,0.0000
Chattogram,72,3476,2.1152
Chuadanga,2,133,1.5267
Cox's bazar,66,1260,5.5276
Cumilla,106,1516,7.5177
Dhaka,413,24845,1.6904
Dinajpur,0,183,0.0000
Faridpur,4,593,0.6791
Feni,1,410,0.2445
Gaibandha,9,94,10.5882
Gazipur,13,1241,1.0586
Gopalganj,0,369,0.0000
Hobiganj,0,176,0.0000
Jamalpur,19,355,5.6548
Jessore,11,219,5.2885
Jhalokathi,3,52,6.1224
Jhenaidah,2,76,2.7027
Joypurhat,0,183,0.0000
Khagrachari,0,57,0.0000
Khulna,32,319,11.1498
Kishoreganj,19,488,4.0512
Kurigram,3,86,3.6145
Kushtia,24,226,11.8812
Laksmipur,0,145,0.0000
Lalmonirhat,0,48,0.0000
Madaripur,22,312,7.5862
Magura,6,60,11.1111
Manikganj,0,168,0.0000
Moulovi Bazar,0,116,0.0000
Meherpur,1,38,2.7027
Munshigonj,73,1458,5.2708
Mymensingh,25,817,3.1566
Naogaon,0,212,0.0000
Narail,1,59,1.7241
Narayanganj,44,2919,1.5304
Narshingdi,2,205,0.9852
Natore,2,74,2.7778
Netrokona,6,299,2.0478
Nilphamari,0,138,0.0000
Noakhali,0,970,0.0000
Pabna,16,164,10.8108
Panchagar,0,52,0.0000
Potuakhali,22,121,22.2222
Pirojpur,2,46,4.5455
Rajbari,0,116,0.0000
Rajshahi,1,89,1.1364
Rangmati,0,77,0.0000
Rangpur,20,600,3.4483
Satkhira,2,63,3.2787
Shariatpur,7,180,4.0462
Sherpur,13,162,8.7248
Sirajganj,0,45,0.0000
Sunamganj,23,368,6.6667
Sylhet,0,676,0.0000
Tangail,0,58,0.0000
Thakurgaon,0,74,0.0000
