District/City,New Cases,Total Cases,Cases Increase(%)
Bagerhat,0,18,0.0000
Bandarban,2,31,6.8966
Barguna,0,44,0.0000
Barishal,0,70,0.0000
Bhola,0,23,0.0000
Bogura,22,218,11.2245
B. Baria,0,116,0.0000
Chandpur,0,109,0.0000
Chapainawabganj,0,54,0.0000
Chattogram,62,2288,2.7853
Chuadanga,4,93,4.4944
Cox's bazar,68,636,11.9718
Cumilla,0,771,0.0000
Dhaka,470,16922,2.8568
Dinajpur,26,143,22.2222
Faridpur,0,172,0.0000
Feni,5,158,3.2680
Gaibandha,8,48,20.0000
Gazipur,0,635,0.0000
Gopalganj,0,168,0.0000
Hobiganj,8,173,4.8485
Jamalpur,0,206,0.0000
Jessore,0,144,0.0000
Jhalokathi,0,30,0.0000
Jhenaidah,0,48,0.0000
Joypurhat,5,140,3.7037
Khagrachari,0,35,0.0000
Khulna,0,73,0.0000
Kishoreganj,0,233,0.0000
Kurigram,3,67,4.6875
Kushtia,11,62,21.5686
Laksmipur,0,140,0.0000
Lalmonirhat,0,36,0.0000
Madaripur,0,115,0.0000
Magura,0,25,0.0000
Manikganj,0,134,0.0000
Moulovi Bazar,0,103,0.0000
Meherpur,4,18,28.5714
Munshigonj,0,698,0.0000
Mymensingh,0,489,0.0000
Naogaon,13,115,12.7451
Narail,0,26,0.0000
Narayanganj,0,2057,0.0000
Narshingdi,0,176,0.0000
Natore,0,53,0.0000
Netrokona,0,211,0.0000
Nilphamari,10,100,11.1111
Noakhali,55,574,10.5973
Pabna,0,38,0.0000
Panchagar,9,49,22.5000
Potuakhali,0,40,0.0000
Pirojpur,0,24,0.0000
Rajbari,0,68,0.0000
Rajshahi,0,59,0.0000
Rangmati,0,65,0.0000
Rangpur,6,415,1.4670
Satkhira,0,43,0.0000
Shariatpur,0,119,0.0000
Sherpur,0,86,0.0000
Sirajganj,1,20,5.2632
Sunamganj,17,120,16.5049
Sylhet,0,292,0.0000
Tangail,0,52,0.0000
Thakurgaon,0,61,0.0000
