District/City,New Cases,Total Cases,Cases Increase(%)
Bagerhat,0,637,0.0000
Bandarban,0,586,0.0000
Barguna,0,685,0.0000
Barishal,0,2533,0.0000
Bhola,0,557,0.0000
Bogura,0,5094,0.0000
B. Baria,0,1961,0.0000
Chandpur,0,1890,0.0000
Chapainawabganj,0,517,0.0000
Chattogram,0,14874,0.0000
Chuadanga,0,789,0.0000
Cox's bazar,0,3497,0.0000
Cumilla,0,5727,0.0000
Dhaka,0,52298,0.0000
Dinajpur,0,1929,0.0000
Faridpur,0,5149,0.0000
Feni,0,1384,0.0000
Gaibandha,0,698,0.0000
Gazipur,0,4327,0.0000
Gopalganj,0,1793,0.0000
Hobiganj,0,1226,0.0000
Jamalpur,0,982,0.0000
Jessore,0,2099,0.0000
Jhalokathi,0,493,0.0000
Jhenaidah,0,1075,0.0000
Joypurhat,0,782,0.0000
Khagrachari,0,550,0.0000
Khulna,0,4592,0.0000
Kishoreganj,0,2091,0.0000
Kurigram,0,553,0.0000
Kushtia,0,1897,0.0000
Laksmipur,0,1501,0.0000
Lalmonirhat,0,436,0.0000
Madaripur,0,1224,0.0000
Magura,0,546,0.0000
Manikganj,0,915,0.0000
Moulvibazar,207,1046,24.6722
Meherpur,0,229,0.0000
Munshigonj,0,3146,0.0000
Mymensingh,0,2828,0.0000
Naogaon,0,960,0.0000
Narail,0,875,0.0000
Narayanganj,0,5982,0.0000
Narshingdi,0,1756,0.0000
Natore,0,544,0.0000
Netrokona,0,647,0.0000
Nilphamari,0,680,0.0000
Noakhali,0,3409,0.0000
Pabna,0,852,0.0000
Panchagar,0,361,0.0000
Patuakhali,0,1066,0.0000
Pirojpur,0,739,0.0000
Rajbari,0,1438,0.0000
Rajshahi,0,3492,0.0000
Rangamati,0,677,0.0000
Rangpur,0,1792,0.0000
Satkhira,0,780,0.0000
Shariatpur,0,1139,0.0000
Sherpur,0,326,0.0000
Sirajganj,0,1539,0.0000
Sunamganj,0,1550,0.0000
Sylhet,0,4475,0.0000
Tangail,0,1793,0.0000
Thakurgaon,0,437,0.0000
