District/City,New Cases,Total Cases,Cases Increase(%)
Bagerhat,0,1006,0.0000
Bandarban,0,789,0.0000
Barguna,0,918,0.0000
Barishal,12,3633,0.3314
Bhola,3,745,0.4043
Bogura,15,7798,0.1927
B. Baria,0,2470,0.0000
Chandpur,5,2330,0.2151
Chapainawabganj,0,782,0.0000
Chattogram,60,19708,0.3054
Chuadanga,3,1458,0.2062
Cox's bazar,10,4855,0.2064
Comilla,25,7670,0.3270
Dhaka,653,109183,0.6017
Dinajpur,6,3492,0.1721
Faridpur,13,7268,0.1792
Feni,6,1899,0.3170
Gaibandha,0,1200,0.0000
Gazipur,0,5539,0.0000
Gopalganj,0,2616,0.0000
Hobiganj,0,1769,0.0000
Jamalpur,6,1609,0.3743
Jashore,8,3998,0.2005
Jhalokathi,1,716,0.1399
Jhenaidah,2,1976,0.1013
Joypurhat,1,1116,0.0897
Khagrachari,0,696,0.0000
Khulna,16,6500,0.2468
Kishoreganj,13,2895,0.4511
Kurigram,0,914,0.0000
Kushtia,7,3355,0.2091
Laksmipur,2,2158,0.0928
Lalmonirhat,0,885,0.0000
Madaripur,0,1479,0.0000
Magura,2,928,0.2160
Manikganj,4,1527,0.2626
Moulvibazar,0,1732,0.0000
Meherpur,2,633,0.3170
Munshigonj,8,3555,0.2255
Mymensingh,3,3744,0.0802
Naogaon,0,1331,0.0000
Narail,0,1368,0.0000
Narayanganj,0,6899,0.0000
Narshingdi,4,2377,0.1686
Natore,0,1015,0.0000
Netrokona,0,722,0.0000
Nilphamari,2,1100,0.1821
Noakhali,9,5027,0.1794
Pabna,1,1176,0.0851
Panchagarh,4,641,0.6279
Patuakhali,3,1455,0.2066
Pirojpur,0,1094,0.0000
Rajbari,5,3113,0.1609
Rajshahi,5,5033,0.0994
Rangamati,4,915,0.4391
Rangpur,4,2909,0.1377
Satkhira,0,1105,0.0000
Shariatpur,1,1728,0.0579
Sherpur,1,484,0.2070
Sirajganj,2,2200,0.0910
Sunamganj,0,2368,0.0000
Sylhet,0,7126,0.0000
Tangail,5,3206,0.1562
Thakurgaon,3,1167,0.2577
