District/City,New Cases,Total Cases,Cases Increase(%)
Bagerhat,10,112,9.8039
Bandarban,0,111,0.0000
Barguna,8,162,5.1948
Barishal,0,1129,0.0000
Bhola,1,188,0.5348
Bogura,0,2085,0.0000
B. Baria,8,541,1.5009
Chandpur,11,564,1.9892
Chapainawabganj,0,86,0.0000
Chattogram,895,6480,16.0251
Chuadanga,11,180,6.5089
Cox's bazar,359,2047,21.2678
Cumilla,0,2471,0.0000
Dhaka,0,27266,0.0000
Dinajpur,15,507,3.0488
Faridpur,218,1241,21.3099
Feni,8,653,1.2403
Gaibandha,4,211,1.9324
Gazipur,0,2511,0.0000
Gopalganj,23,483,5.0000
Hobiganj,0,276,0.0000
Jamalpur,28,468,6.3636
Jessore,34,348,10.8280
Jhalokathi,0,125,0.0000
Jhenaidah,6,129,4.8780
Joypurhat,0,253,0.0000
Khagrachari,0,94,0.0000
Khulna,273,1073,34.1250
Kishoreganj,0,1083,0.0000
Kurigram,1,120,0.8403
Kushtia,77,384,25.0814
Laksmipur,20,595,3.4783
Lalmonirhat,5,76,7.0423
Madaripur,140,608,29.9145
Magura,0,64,0.0000
Manikganj,0,472,0.0000
Moulovi Bazar,0,265,0.0000
Meherpur,2,42,5.0000
Munshigonj,115,1776,6.9235
Mymensingh,0,1315,0.0000
Naogaon,0,239,0.0000
Narail,27,100,36.9863
Narayanganj,170,4700,3.7528
Narshingdi,131,1240,11.8124
Natore,0,135,0.0000
Netrokona,15,381,4.0984
Nilphamari,3,298,1.0169
Noakhali,24,1707,1.4260
Pabna,0,270,0.0000
Panchagar,1,126,0.8000
Patuakhali,3,244,1.2448
Pirojpur,0,131,0.0000
Rajbari,15,221,7.2816
Rajshahi,0,237,0.0000
Rangmati,0,116,0.0000
Rangpur,18,783,2.3529
Satkhira,1,101,1.0000
Shariatpur,0,378,0.0000
Sherpur,2,211,0.9569
Sirajganj,0,261,0.0000
Sunamganj,0,788,0.0000
Sylhet,46,1814,2.6018
Tangail,0,379,0.0000
Thakurgaon,6,180,3.4483
