District/City,New Cases,Total Cases,Cases Increase(%)
Bagerhat,0,1011,0.0000
Bandarban,0,804,0.0000
Barguna,0,929,0.0000
Barishal,0,3779,0.0000
Bhola,0,773,0.0000
Bogura,0,8019,0.0000
B. Baria,0,2498,0.0000
Chandpur,0,2361,0.0000
Chapainawabganj,0,782,0.0000
Chattogram,0,20764,0.0000
Chuadanga,0,1506,0.0000
Cox's bazar,0,5038,0.0000
Comilla,0,7873,0.0000
Dhaka,0,118668,0.0000
Dinajpur,0,3609,0.0000
Faridpur,0,7388,0.0000
Feni,0,1941,0.0000
Gaibandha,0,1214,0.0000
Gazipur,0,5677,0.0000
Gopalganj,0,2660,0.0000
Hobiganj,0,1802,0.0000
Jamalpur,0,1647,0.0000
Jashore,0,4078,0.0000
Jhalokathi,0,727,0.0000
Jhenaidah,0,2053,0.0000
Joypurhat,0,1126,0.0000
Khagrachari,0,710,0.0000
Khulna,0,6605,0.0000
Kishoreganj,0,2994,0.0000
Kurigram,0,933,0.0000
Kushtia,0,3431,0.0000
Laksmipur,0,2184,0.0000
Lalmonirhat,0,893,0.0000
Madaripur,0,1491,0.0000
Magura,0,940,0.0000
Manikganj,0,1566,0.0000
Moulvibazar,0,1772,0.0000
Meherpur,0,649,0.0000
Munshigonj,0,3658,0.0000
Mymensingh,0,3807,0.0000
Naogaon,0,1342,0.0000
Narail,0,1399,0.0000
Narayanganj,0,7104,0.0000
Narshingdi,0,2436,0.0000
Natore,0,1033,0.0000
Netrokona,0,729,0.0000
Nilphamari,0,1151,0.0000
Noakhali,0,5078,0.0000
Pabna,0,1209,0.0000
Panchagarh,0,667,0.0000
Patuakhali,0,1506,0.0000
Pirojpur,0,1105,0.0000
Rajbari,0,3161,0.0000
Rajshahi,0,5105,0.0000
Rangamati,0,926,0.0000
Rangpur,0,3009,0.0000
Satkhira,0,1108,0.0000
Shariatpur,0,1773,0.0000
Sherpur,0,496,0.0000
Sirajganj,0,2249,0.0000
Sunamganj,0,2388,0.0000
Sylhet,0,7442,0.0000
Tangail,0,3272,0.0000
Thakurgaon,0,1221,0.0000
