District/City,New Cases,Total Cases,Cases Increase(%)
Bagerhat,4,872,0.4608
Bandarban,0,665,0.0000
Barguna,5,819,0.6143
Barishal,12,3010,0.4003
Bhola,7,645,1.0972
Bogura,0,6342,0.0000
B. Baria,0,2217,0.0000
Chandpur,0,2095,0.0000
Chapainawabganj,0,663,0.0000
Chattogram,0,16612,0.0000
Chuadanga,30,1171,2.6293
Cox's bazar,0,3906,0.0000
Comilla,0,6591,0.0000
Dhaka,746,81778,0.9206
Dinajpur,111,2864,4.0320
Faridpur,0,6187,0.0000
Feni,0,1631,0.0000
Gaibandha,25,903,2.8474
Gazipur,24,4765,0.5062
Gopalganj,0,2231,0.0000
Hobiganj,24,1478,1.6506
Jamalpur,4,1289,0.3113
Jashore,31,3009,1.0410
Jhalokathi,3,611,0.4934
Jhenaidah,107,1521,7.5672
Joypurhat,11,908,1.2263
Khagrachari,0,616,0.0000
Khulna,464,5889,8.5530
Kishoreganj,38,2482,1.5548
Kurigram,22,765,2.9610
Kushtia,0,2577,0.0000
Laksmipur,0,1862,0.0000
Lalmonirhat,30,657,4.7847
Madaripur,0,1280,0.0000
Magura,19,766,2.5435
Manikganj,7,1100,0.6404
Moulvibazar,39,1413,2.8384
Meherpur,27,478,5.9867
Munshigonj,29,3542,0.8255
Mymensingh,12,3277,0.3675
Naogaon,0,1111,0.0000
Narail,11,1128,0.9848
Narayanganj,16,6322,0.2537
Narshingdi,0,2050,0.0000
Natore,24,825,2.9963
Netrokona,1,679,0.1475
Nilphamari,34,876,4.0380
Noakhali,0,4325,0.0000
Pabna,0,958,0.0000
Panchagarh,23,504,4.7817
Patuakhali,12,1274,0.9509
Pirojpur,12,950,1.2793
Rajbari,63,2414,2.6797
Rajshahi,53,4429,1.2112
Rangamati,0,798,0.0000
Rangpur,67,2287,3.0180
Satkhira,18,984,1.8634
Shariatpur,85,1436,6.2916
Sherpur,3,411,0.7353
Sirajganj,12,1871,0.6455
Sunamganj,38,1970,1.9669
Sylhet,114,5477,2.1257
Tangail,43,2422,1.8075
Thakurgaon,56,850,7.0529
