District/City,New Cases,Total Cases,Cases Increase(%)
Bagerhat,21,572,3.8113
Bandarban,0,507,0.0000
Barguna,0,511,0.0000
Barishal,0,1686,0.0000
Bhola,0,487,0.0000
Bogura,0,4555,0.0000
B. Baria,0,1509,0.0000
Chandpur,9,1695,0.5338
Chapainawabganj,0,416,0.0000
Chattogram,598,14101,4.4286
Chuadanga,8,555,1.4625
Cox's bazar,40,3229,1.2543
Cumilla,0,4167,0.0000
Dhaka,22,52224,0.0421
Dinajpur,0,1308,0.0000
Faridpur,0,4512,0.0000
Feni,0,1029,0.0000
Gaibandha,0,578,0.0000
Gazipur,0,4166,0.0000
Gopalganj,0,1497,0.0000
Hobiganj,0,1055,0.0000
Jamalpur,0,854,0.0000
Jessore,52,1738,3.0842
Jhalokathi,0,242,0.0000
Jhenaidah,0,844,0.0000
Joypurhat,0,665,0.0000
Khagrachari,0,414,0.0000
Khulna,70,4179,1.7036
Kishoreganj,0,1965,0.0000
Kurigram,0,377,0.0000
Kushtia,58,1480,4.0788
Laksmipur,0,1348,0.0000
Lalmonirhat,0,294,0.0000
Madaripur,0,1139,0.0000
Magura,24,420,6.0606
Manikganj,0,840,0.0000
Moulovi Bazar,0,839,0.0000
Meherpur,0,153,0.0000
Munshigonj,0,2503,0.0000
Mymensingh,0,2052,0.0000
Naogaon,0,921,0.0000
Narail,19,700,2.7900
Narayanganj,38,5863,0.6524
Narshingdi,0,1848,0.0000
Natore,0,397,0.0000
Netrokona,0,623,0.0000
Nilphamari,0,600,0.0000
Noakhali,31,3056,1.0248
Pabna,0,822,0.0000
Panchagar,0,233,0.0000
Patuakhali,0,905,0.0000
Pirojpur,0,218,0.0000
Rajbari,0,1112,0.0000
Rajshahi,0,1469,0.0000
Rangamati,0,511,0.0000
Rangpur,0,1539,0.0000
Satkhira,9,690,1.3216
Shariatpur,0,1035,0.0000
Sherpur,0,267,0.0000
Sirajganj,0,1294,0.0000
Sunamganj,0,1278,0.0000
Sylhet,0,3787,0.0000
Tangail,41,1556,2.7063
Thakurgaon,0,301,0.0000
