District/City,New Cases,Total Cases,Cases Increase(%)
Bagerhat,0,1014,0.0000
Bandarban,2,810,0.2475
Barguna,0,942,0.0000
Barishal,0,3944,0.0000
Bhola,0,814,0.0000
Bogura,20,8198,0.2446
B. Baria,1,2517,0.0397
Chandpur,6,2437,0.2468
Chapainawabganj,0,796,0.0000
Chattogram,86,21640,0.3990
Chuadanga,0,1526,0.0000
Cox's bazar,5,5214,0.0960
Comilla,14,8046,0.1743
Dhaka,576,126621,0.4570
Dinajpur,27,3731,0.7289
Faridpur,29,7548,0.3857
Feni,6,1985,0.3032
Gaibandha,3,1233,0.2439
Gazipur,0,5820,0.0000
Gopalganj,3,2706,0.1110
Hobiganj,14,1845,0.7646
Jamalpur,2,1674,0.1196
Jashore,0,4141,0.0000
Jhalokathi,0,740,0.0000
Jhenaidah,0,2101,0.0000
Joypurhat,0,1154,0.0000
Khagrachari,0,716,0.0000
Khulna,0,6691,0.0000
Kishoreganj,0,3071,0.0000
Kurigram,0,941,0.0000
Kushtia,0,3460,0.0000
Laksmipur,1,2199,0.0455
Lalmonirhat,2,903,0.2220
Madaripur,0,1500,0.0000
Magura,0,957,0.0000
Manikganj,1,1591,0.0629
Moulvibazar,10,1802,0.5580
Meherpur,0,674,0.0000
Munshigonj,5,3765,0.1330
Mymensingh,8,3896,0.2058
Naogaon,4,1371,0.2926
Narail,0,1433,0.0000
Narayanganj,0,7229,0.0000
Narshingdi,6,2494,0.2412
Natore,3,1073,0.2804
Netrokona,4,752,0.5348
Nilphamari,2,1167,0.1717
Noakhali,7,5124,0.1368
Pabna,0,1237,0.0000
Panchagarh,5,691,0.7289
Patuakhali,0,1548,0.0000
Pirojpur,0,1111,0.0000
Rajbari,5,3188,0.1571
Rajshahi,12,5220,0.2304
Rangamati,2,938,0.2137
Rangpur,19,3144,0.6080
Satkhira,0,1117,0.0000
Shariatpur,0,1788,0.0000
Sherpur,4,508,0.7937
Sirajganj,1,2280,0.0439
Sunamganj,7,2416,0.2906
Sylhet,78,7804,1.0096
Tangail,8,3353,0.2392
Thakurgaon,1,1258,0.0796
