District/City,New Cases,Total Cases,Cases Increase(%)
Bagerhat,6,118,5.3571
Bandarban,16,200,8.6957
Barguna,6,168,3.7037
Barishal,146,1275,12.9318
Bhola,1,189,0.5319
Bogura,186,2516,7.9828
B. Baria,71,612,13.1238
Chandpur,42,652,6.8852
Chapainawabganj,6,94,6.8182
Chattogram,219,6699,3.3796
Chuadanga,9,189,5.0000
Cox's bazar,157,2204,7.6698
Cumilla,245,2873,9.3227
Dhaka,51,27359,0.1868
Dinajpur,0,507,0.0000
Faridpur,238,1479,19.1781
Feni,0,653,0.0000
Gaibandha,0,211,0.0000
Gazipur,576,3087,22.9391
Gopalganj,38,521,7.8675
Hobiganj,0,276,0.0000
Jamalpur,35,503,7.4786
Jessore,31,379,8.9080
Jhalokathi,41,166,32.8000
Jhenaidah,19,148,14.7287
Joypurhat,1,256,0.3922
Khagrachari,11,171,6.8750
Khulna,133,1206,12.3952
Kishoreganj,0,1083,0.0000
Kurigram,0,120,0.0000
Kushtia,11,395,2.8646
Laksmipur,84,693,13.7931
Lalmonirhat,0,76,0.0000
Madaripur,0,608,0.0000
Magura,18,82,28.1250
Manikganj,14,510,2.8226
Moulovi Bazar,0,265,0.0000
Meherpur,5,47,11.9048
Munshigonj,80,1856,4.5045
Mymensingh,84,1399,6.3878
Naogaon,1,240,0.4184
Narail,6,106,6.0000
Narayanganj,62,4788,1.3119
Narshingdi,16,1256,1.2903
Natore,0,148,0.0000
Netrokona,17,401,4.4271
Nilphamari,0,298,0.0000
Noakhali,88,1828,5.0575
Pabna,71,407,21.1310
Panchagar,0,126,0.0000
Patuakhali,10,260,4.0000
Pirojpur,24,155,18.3206
Rajbari,22,243,9.9548
Rajshahi,58,357,19.3980
Rangamati,95,211,81.8966
Rangpur,0,783,0.0000
Satkhira,7,108,6.9307
Shariatpur,35,413,9.2593
Sherpur,7,218,3.3175
Sirajganj,29,309,10.3571
Sunamganj,0,788,0.0000
Sylhet,130,1944,7.1665
Tangail,35,476,7.9365
Thakurgaon,0,180,0.0000
