District/City,New Cases,Total Cases,Cases Increase(%)
Bagerhat,23,311,7.9861
Bandarban,0,328,0.0000
Barguna,20,403,5.2219
Barishal,0,1686,0.0000
Bhola,23,399,6.1170
Bogura,155,3763,4.2960
B. Baria,0,1505,0.0000
Chandpur,14,1299,1.0895
Chapainawabganj,42,199,26.7516
Chattogram,1355,11597,13.2298
Chuadanga,14,292,5.0360
Cox's bazar,284,2971,10.5694
Cumilla,0,4167,0.0000
Dhaka,34376,41874,458.4689
Dinajpur,0,675,0.0000
Faridpur,0,2444,0.0000
Feni,0,1004,0.0000
Gaibandha,0,288,0.0000
Gazipur,26,3890,0.6729
Gopalganj,0,799,0.0000
Hobiganj,0,899,0.0000
Jamalpur,37,685,5.7099
Jessore,0,984,0.0000
Jhalokathi,0,242,0.0000
Jhenaidah,0,415,0.0000
Joypurhat,34,550,6.5891
Khagrachari,0,237,0.0000
Khulna,0,3030,0.0000
Kishoreganj,19,1758,1.0926
Kurigram,0,149,0.0000
Kushtia,0,938,0.0000
Laksmipur,8,1097,0.7346
Lalmonirhat,0,126,0.0000
Madaripur,0,832,0.0000
Magura,0,191,0.0000
Manikganj,0,716,0.0000
Moulovi Bazar,0,657,0.0000
Meherpur,3,100,3.0928
Munshigonj,7,2503,0.2804
Mymensingh,0,2052,0.0000
Naogaon,50,676,7.9872
Narail,30,391,8.3102
Narayanganj,56,5618,1.0068
Narshingdi,0,1592,0.0000
Natore,41,305,15.5303
Netrokona,0,551,0.0000
Nilphamari,0,353,0.0000
Noakhali,30,2571,1.1806
Pabna,0,599,0.0000
Panchagar,0,146,0.0000
Patuakhali,32,708,4.7337
Pirojpur,0,218,0.0000
Rajbari,0,563,0.0000
Rajshahi,0,1469,0.0000
Rangamati,0,409,0.0000
Rangpur,0,983,0.0000
Satkhira,58,392,17.3653
Shariatpur,0,668,0.0000
Sherpur,3,267,1.1364
Sirajganj,63,849,8.0153
Sunamganj,0,1170,0.0000
Sylhet,0,3070,0.0000
Tangail,84,999,9.1803
Thakurgaon,0,206,0.0000
