District/City,New Cases,Total Cases,Cases Increase(%)
Bagerhat,1,68,1.4925
Bandarban,5,70,7.6923
Barguna,3,84,3.7037
Barishal,4,205,1.9900
Bhola,10,90,12.5000
Bogura,0,269,0.0000
B. Baria,21,245,9.3750
Chandpur,7,270,2.6616
Chapainawabganj,1,67,1.5152
Chattogram,127,3404,3.8755
Chuadanga,7,131,5.6452
Cox's bazar,94,1194,8.5455
Cumilla,31,1410,2.2480
Dhaka,935,24432,3.9792
Dinajpur,1,183,0.5495
Faridpur,86,589,17.0974
Feni,49,409,13.6111
Gaibandha,9,85,11.8421
Gazipur,23,1228,1.9087
Gopalganj,33,369,9.8214
Hobiganj,1,176,0.5714
Jamalpur,2,336,0.5988
Jessore,17,208,8.9005
Jhalokathi,2,49,4.2553
Jhenaidah,6,74,8.8235
Joypurhat,0,183,0.0000
Khagrachari,0,57,0.0000
Khulna,31,287,12.1094
Kishoreganj,18,469,3.9911
Kurigram,5,83,6.4103
Kushtia,42,202,26.2500
Laksmipur,0,145,0.0000
Lalmonirhat,3,48,6.6667
Madaripur,4,290,1.3986
Magura,3,54,5.8824
Manikganj,1,168,0.5988
Moulovi Bazar,0,116,0.0000
Meherpur,2,37,5.7143
Munshigonj,3,1385,0.2171
Mymensingh,35,792,4.6235
Naogaon,0,212,0.0000
Narail,5,58,9.4340
Narayanganj,93,2875,3.3429
Narshingdi,5,203,2.5253
Natore,3,72,4.3478
Netrokona,13,293,4.6429
Nilphamari,0,138,0.0000
Noakhali,63,970,6.9460
Pabna,29,148,24.3697
Panchagar,0,52,0.0000
Potuakhali,8,99,8.7912
Pirojpur,1,44,2.3256
Rajbari,6,116,5.4545
Rajshahi,1,88,1.1494
Rangmati,0,77,0.0000
Rangpur,29,580,5.2632
Satkhira,1,61,1.6667
Shariatpur,0,173,0.0000
Sherpur,0,149,0.0000
Sirajganj,0,45,0.0000
Sunamganj,46,345,15.3846
Sylhet,0,676,0.0000
Tangail,2,58,3.5714
Thakurgaon,0,74,0.0000
