District/City,New Cases,Total Cases,Cases Increase(%)
Bagerhat,10,922,1.0965
Bandarban,10,704,1.4409
Barguna,0,867,0.0000
Barishal,0,3200,0.0000
Bhola,0,677,0.0000
Bogura,37,6883,0.5405
B. Baria,23,2322,1.0004
Chandpur,14,2155,0.6539
Chapainawabganj,1,717,0.1397
Chattogram,124,17423,0.7168
Chuadanga,8,1292,0.6231
Cox's bazar,34,4133,0.8295
Comilla,34,6915,0.4941
Dhaka,51,86713,0.0588
Dinajpur,90,3167,2.9249
Faridpur,28,6592,0.4266
Feni,13,1703,0.7692
Gaibandha,35,1040,3.4826
Gazipur,34,5088,0.6727
Gopalganj,23,2376,0.9775
Hobiganj,20,1600,1.2658
Jamalpur,0,1376,0.0000
Jashore,37,3453,1.0831
Jhalokathi,0,649,0.0000
Jhenaidah,0,1697,0.0000
Joypurhat,19,978,1.9812
Khagrachari,7,641,1.1041
Khulna,50,5870,0.8591
Kishoreganj,16,2574,0.6255
Kurigram,17,827,2.0988
Kushtia,28,2879,0.9821
Laksmipur,26,2007,1.3125
Lalmonirhat,44,757,6.1711
Madaripur,0,1386,0.0000
Magura,5,833,0.6039
Manikganj,8,1258,0.6400
Moulvibazar,15,1551,0.9766
Meherpur,0,544,0.0000
Munshigonj,16,3269,0.4919
Mymensingh,0,3417,0.0000
Naogaon,0,1194,0.0000
Narail,3,1212,0.2481
Narayanganj,27,6495,0.4174
Narshingdi,31,2137,1.4720
Natore,0,876,0.0000
Netrokona,0,691,0.0000
Nilphamari,43,958,4.6995
Noakhali,63,4693,1.3607
Pabna,0,1020,0.0000
Panchagarh,7,537,1.3208
Patuakhali,0,1330,0.0000
Pirojpur,0,1010,0.0000
Rajbari,32,2738,1.1826
Rajshahi,11,4638,0.2377
Rangamati,5,849,0.5924
Rangpur,82,2539,3.3374
Satkhira,2,1051,0.1907
Shariatpur,11,1570,0.7056
Sherpur,0,437,0.0000
Sirajganj,14,2006,0.7028
Sunamganj,28,2122,1.3372
Sylhet,124,5971,2.1207
Tangail,36,2761,1.3211
Thakurgaon,69,992,7.4756
