District/City,New Cases,Total Cases,Cases Increase(%)
Bagerhat,1,994,0.1007
Bandarban,0,776,0.0000
Barguna,0,912,0.0000
Barishal,10,3529,0.2842
Bhola,1,727,0.1377
Bogura,5,7638,0.0655
B. Baria,7,2460,0.2854
Chandpur,5,2303,0.2176
Chapainawabganj,1,776,0.1290
Chattogram,90,18949,0.4772
Chuadanga,5,1432,0.3504
Cox's bazar,16,4740,0.3387
Comilla,28,7511,0.3742
Dhaka,0,101090,0.0000
Dinajpur,0,3399,0.0000
Faridpur,0,7157,0.0000
Feni,6,1861,0.3235
Gaibandha,0,1182,0.0000
Gazipur,9,5463,0.1650
Gopalganj,7,2578,0.2723
Hobiganj,0,1745,0.0000
Jamalpur,5,1562,0.3211
Jashore,13,3918,0.3329
Jhalokathi,0,699,0.0000
Jhenaidah,3,1930,0.1557
Joypurhat,2,1090,0.1838
Khagrachari,0,682,0.0000
Khulna,8,6385,0.1255
Kishoreganj,0,2805,0.0000
Kurigram,0,908,0.0000
Kushtia,5,3278,0.1528
Laksmipur,4,2137,0.1875
Lalmonirhat,0,870,0.0000
Madaripur,2,1470,0.1362
Magura,1,910,0.1100
Manikganj,0,1501,0.0000
Moulvibazar,0,1692,0.0000
Meherpur,1,612,0.1637
Munshigonj,0,3495,0.0000
Mymensingh,5,3701,0.1353
Naogaon,6,1322,0.4559
Narail,3,1339,0.2246
Narayanganj,0,6775,0.0000
Narshingdi,6,2321,0.2592
Natore,0,999,0.0000
Netrokona,0,720,0.0000
Nilphamari,0,1066,0.0000
Noakhali,8,4974,0.1611
Pabna,5,1141,0.4401
Panchagarh,0,614,0.0000
Patuakhali,4,1428,0.2809
Pirojpur,1,1080,0.0927
Rajbari,0,3064,0.0000
Rajshahi,8,4974,0.1611
Rangamati,3,902,0.3337
Rangpur,0,2846,0.0000
Satkhira,1,1098,0.0912
Shariatpur,0,1702,0.0000
Sherpur,1,474,0.2114
Sirajganj,10,2171,0.4627
Sunamganj,0,2334,0.0000
Sylhet,0,6850,0.0000
Tangail,3,3141,0.0956
Thakurgaon,0,1126,0.0000
