District/City,New Cases,Total Cases,Cases Increase(%)
Bagerhat,0,166,0.0000
Bandarban,0,312,0.0000
Barguna,0,246,0.0000
Barishal,0,1557,0.0000
Bhola,0,303,0.0000
Bogura,0,3199,0.0000
B. Baria,0,733,0.0000
Chandpur,0,1003,0.0000
Chapainawabganj,0,101,0.0000
Chattogram,0,8035,0.0000
Chuadanga,0,212,0.0000
Cox's bazar,0,2506,0.0000
Cumilla,0,3670,0.0000
Dhaka,0,27609,0.0000
Dinajpur,0,675,0.0000
Faridpur,0,2047,0.0000
Feni,0,786,0.0000
Gaibandha,0,288,0.0000
Gazipur,0,3270,0.0000
Gopalganj,0,684,0.0000
Hobiganj,0,605,0.0000
Jamalpur,0,542,0.0000
Jessore,0,555,0.0000
Jhalokathi,0,193,0.0000
Jhenaidah,0,165,0.0000
Joypurhat,0,429,0.0000
Khagrachari,0,237,0.0000
Khulna,0,1786,0.0000
Kishoreganj,0,1083,0.0000
Kurigram,0,149,0.0000
Kushtia,0,535,0.0000
Laksmipur,0,929,0.0000
Lalmonirhat,0,126,0.0000
Madaripur,0,738,0.0000
Magura,0,97,0.0000
Manikganj,0,603,0.0000
Moulovi Bazar,0,414,0.0000
Meherpur,0,59,0.0000
Munshigonj,0,1944,0.0000
Mymensingh,0,1889,0.0000
Naogaon,0,540,0.0000
Narail,0,153,0.0000
Narayanganj,0,5148,0.0000
Narshingdi,0,1280,0.0000
Natore,0,215,0.0000
Netrokona,0,534,0.0000
Nilphamari,0,353,0.0000
Noakhali,0,2239,0.0000
Pabna,0,448,0.0000
Panchagar,0,146,0.0000
Patuakhali,0,431,0.0000
Pirojpur,0,214,0.0000
Rajbari,0,457,0.0000
Rajshahi,0,910,0.0000
Rangamati,0,256,0.0000
Rangpur,0,983,0.0000
Satkhira,0,159,0.0000
Shariatpur,0,581,0.0000
Sherpur,0,249,0.0000
Sirajganj,0,531,0.0000
Sunamganj,0,959,0.0000
Sylhet,0,2550,0.0000
Tangail,0,669,0.0000
Thakurgaon,0,206,0.0000
