District/City,New Cases,Total Cases,Cases Increase(%)
Bagerhat,0,1014,0.0000
Bandarban,0,829,0.0000
Barguna,7,968,0.7284
Barishal,49,4125,1.2022
Bhola,11,848,1.3142
Bogura,15,8330,0.1804
B. Baria,0,2535,0.0000
Chandpur,0,2465,0.0000
Chapainawabganj,0,801,0.0000
Chattogram,0,22228,0.0000
Chuadanga,4,1540,0.2604
Cox's bazar,0,5302,0.0000
Comilla,0,8149,0.0000
Dhaka,1374,131608,1.0550
Dinajpur,16,3802,0.4226
Faridpur,7,7604,0.0921
Feni,0,2006,0.0000
Gaibandha,7,1257,0.5600
Gazipur,24,5933,0.4062
Gopalganj,15,2756,0.5472
Hobiganj,0,1862,0.0000
Jamalpur,2,1688,0.1186
Jashore,25,4210,0.5974
Jhalokathi,4,754,0.5333
Jhenaidah,19,2137,0.8971
Joypurhat,4,1163,0.3451
Khagrachari,0,717,0.0000
Khulna,11,6755,0.1631
Kishoreganj,9,3137,0.2877
Kurigram,5,951,0.5285
Kushtia,7,3487,0.2011
Laksmipur,0,2203,0.0000
Lalmonirhat,3,909,0.3311
Madaripur,0,1505,0.0000
Magura,9,979,0.9278
Manikganj,1,1596,0.0627
Moulvibazar,0,1810,0.0000
Meherpur,2,686,0.2924
Munshigonj,17,3834,0.4454
Mymensingh,13,3944,0.3307
Naogaon,10,1395,0.7220
Narail,1,1451,0.0690
Narayanganj,43,7378,0.5862
Narshingdi,9,2534,0.3564
Natore,1,1083,0.0924
Netrokona,5,766,0.6570
Nilphamari,2,1177,0.1702
Noakhali,0,5156,0.0000
Pabna,5,1262,0.3978
Panchagarh,0,703,0.0000
Patuakhali,4,1563,0.2566
Pirojpur,1,1121,0.0893
Rajbari,6,3207,0.1874
Rajshahi,22,5302,0.4167
Rangamati,0,953,0.0000
Rangpur,47,3247,1.4688
Satkhira,1,1121,0.0893
Shariatpur,0,1804,0.0000
Sherpur,0,509,0.0000
Sirajganj,8,2307,0.3480
Sunamganj,0,2432,0.0000
Sylhet,0,7968,0.0000
Tangail,7,3391,0.2069
Thakurgaon,4,1288,0.3115
