District/City,New Cases,Total Cases,Cases Increase(%)
Bagerhat,1,3,50.0000
Bandarban,0,4,0.0000
Barguna,1,35,2.9412
Barishal,0,48,0.0000
Bhola,0,7,0.0000
Bogra,0,18,0.0000
B. Baria,0,57,0.0000
Chandpur,12,55,27.9070
Chapainawabganj,2,14,16.6667
Chattogram,48,207,30.1887
Chuadanga,0,23,0.0000
Cox's bazar,5,77,6.9444
Cumilla,19,169,12.6667
Dhaka,264,6629,4.1477
Dinajpur,2,38,5.5556
Faridpur,0,21,0.0000
Feni,0,8,0.0000
Gaibandha,0,24,0.0000
Gazipur,2,332,0.6061
Gopalganj,1,50,2.0408
Hobiganj,0,70,0.0000
Jamalpur,2,104,1.9608
Jessore,0,79,0.0000
Jhalokathi,0,13,0.0000
Jhenaidah,4,38,11.7647
Joypurhat,0,39,0.0000
Khagrachari,1,3,50.0000
Khulna,0,20,0.0000
Kishoreganj,0,202,0.0000
Kurigram,1,34,3.0303
Kushtia,0,20,0.0000
Laksmipur,8,58,16.0000
Lalmonirhat,0,13,0.0000
Madaripur,0,54,0.0000
Magura,1,12,9.0909
Manikganj,0,28,0.0000
Moulovi Bazar,0,30,0.0000
Meherpur,0,5,0.0000
Munshigonj,2,212,0.9524
Mymensingh,8,212,3.9216
Naogaon,0,24,0.0000
Narail,0,13,0.0000
Narayanganj,41,1177,3.6092
Narshingdi,0,171,0.0000
Natore,0,12,0.0000
Netrokona,4,68,6.2500
Nilphamari,6,41,17.1429
Noakhali,0,27,0.0000
Pabna,0,16,0.0000
Panchagar,0,10,0.0000
Potuakhali,0,28,0.0000
Pirojpur,6,6,0.0000
Rajbari,0,23,0.0000
Rajshahi,0,26,0.0000
Rangmati,0,4,0.0000
Rangpur,31,120,34.8315
Satkhira,0,4,0.0000
Shariatpur,0,57,0.0000
Sherpur,0,30,0.0000
Sirajganj,0,6,0.0000
Sunamganj,2,37,5.7143
Sylhet,0,28,0.0000
Tangail,0,31,0.0000
Thakurgaon,0,23,0.0000
