District/City,New Cases,Total Cases,Cases Increase(%)
Bagerhat,0,118,0.0000
Bandarban,0,200,0.0000
Barguna,11,179,6.5476
Barishal,0,1275,0.0000
Bhola,25,214,13.2275
Bogura,86,2602,3.4181
B. Baria,0,612,0.0000
Chandpur,17,669,2.6074
Chapainawabganj,0,94,0.0000
Chattogram,0,6699,0.0000
Chuadanga,0,189,0.0000
Cox's bazar,0,2204,0.0000
Cumilla,121,2994,4.2116
Dhaka,0,27359,0.0000
Dinajpur,0,507,0.0000
Faridpur,0,1479,0.0000
Feni,0,653,0.0000
Gaibandha,0,211,0.0000
Gazipur,179,3266,5.7985
Gopalganj,0,521,0.0000
Hobiganj,0,276,0.0000
Jamalpur,0,503,0.0000
Jessore,0,379,0.0000
Jhalokathi,0,166,0.0000
Jhenaidah,0,148,0.0000
Joypurhat,1,257,0.3906
Khagrachari,0,171,0.0000
Khulna,0,1206,0.0000
Kishoreganj,0,1083,0.0000
Kurigram,0,120,0.0000
Kushtia,0,395,0.0000
Laksmipur,43,736,6.2049
Lalmonirhat,0,76,0.0000
Madaripur,0,608,0.0000
Magura,0,82,0.0000
Manikganj,0,510,0.0000
Moulovi Bazar,0,265,0.0000
Meherpur,0,47,0.0000
Munshigonj,0,1856,0.0000
Mymensingh,0,1399,0.0000
Naogaon,83,323,34.5833
Narail,0,106,0.0000
Narayanganj,137,4925,2.8613
Narshingdi,0,1256,0.0000
Natore,7,155,4.7297
Netrokona,0,401,0.0000
Nilphamari,0,298,0.0000
Noakhali,77,1905,4.2123
Pabna,8,415,1.9656
Panchagar,0,126,0.0000
Patuakhali,30,290,11.5385
Pirojpur,0,155,0.0000
Rajbari,0,243,0.0000
Rajshahi,54,411,15.1261
Rangamati,0,211,0.0000
Rangpur,0,783,0.0000
Satkhira,0,108,0.0000
Shariatpur,0,413,0.0000
Sherpur,12,230,5.5046
Sirajganj,23,332,7.4434
Sunamganj,0,788,0.0000
Sylhet,0,1944,0.0000
Tangail,0,476,0.0000
Thakurgaon,0,180,0.0000
