District/City,New Cases,Total Cases,Cases Increase(%)
Bagerhat,13,59,28.2609
Bandarban,8,49,19.5122
Barguna,0,81,0.0000
Barishal,1,183,0.5495
Bhola,4,73,5.7971
Bogura,0,269,0.0000
B. Baria,9,195,4.8387
Chandpur,0,255,0.0000
Chapainawabganj,2,66,3.1250
Chattogram,116,3114,3.8692
Chuadanga,0,111,0.0000
Cox's bazar,0,969,0.0000
Cumilla,11,1206,0.9205
Dhaka,539,22256,2.4819
Dinajpur,0,182,0.0000
Faridpur,77,425,22.1264
Feni,33,290,12.8405
Gaibandha,6,69,9.5238
Gazipur,0,1165,0.0000
Gopalganj,28,315,9.7561
Hobiganj,0,175,0.0000
Jamalpur,12,306,4.0816
Jessore,1,166,0.6061
Jhalokathi,2,41,5.1282
Jhenaidah,2,59,3.5088
Joypurhat,0,183,0.0000
Khagrachari,0,47,0.0000
Khulna,28,187,17.6101
Kishoreganj,46,360,14.6497
Kurigram,1,75,1.3514
Kushtia,7,133,5.5556
Laksmipur,0,144,0.0000
Lalmonirhat,1,43,2.3810
Madaripur,21,224,10.3448
Magura,7,44,18.9189
Manikganj,0,167,0.0000
Moulovi Bazar,0,116,0.0000
Meherpur,2,32,6.6667
Munshigonj,145,1130,14.7208
Mymensingh,45,616,7.8809
Naogaon,0,212,0.0000
Narail,1,35,2.9412
Narayanganj,84,2682,3.2333
Narshingdi,3,194,1.5707
Natore,0,67,0.0000
Netrokona,6,275,2.2305
Nilphamari,0,138,0.0000
Noakhali,27,865,3.2220
Pabna,34,118,40.4762
Panchagar,0,52,0.0000
Potuakhali,0,89,0.0000
Pirojpur,2,40,5.2632
Rajbari,11,101,12.2222
Rajshahi,1,82,1.2346
Rangmati,0,68,0.0000
Rangpur,5,516,0.9785
Satkhira,5,54,10.2041
Shariatpur,4,157,2.6144
Sherpur,6,127,4.9587
Sirajganj,1,43,2.3810
Sunamganj,0,217,0.0000
Sylhet,0,676,0.0000
Tangail,0,55,0.0000
Thakurgaon,0,74,0.0000
