District/City,New Cases,Total Cases,Cases Increase(%)
Bagerhat,1,1007,0.0994
Bandarban,2,791,0.2535
Barguna,0,918,0.0000
Barishal,0,3633,0.0000
Bhola,0,745,0.0000
Bogura,1,7799,0.0128
B. Baria,0,2470,0.0000
Chandpur,0,2330,0.0000
Chapainawabganj,0,782,0.0000
Chattogram,101,19809,0.5125
Chuadanga,2,1460,0.1372
Cox's bazar,15,4870,0.3090
Comilla,14,7684,0.1825
Dhaka,606,109789,0.5550
Dinajpur,0,3492,0.0000
Faridpur,0,7268,0.0000
Feni,5,1904,0.2633
Gaibandha,0,1200,0.0000
Gazipur,23,5562,0.4152
Gopalganj,6,2622,0.2294
Hobiganj,7,1776,0.3957
Jamalpur,5,1614,0.3108
Jashore,10,4008,0.2501
Jhalokathi,0,716,0.0000
Jhenaidah,5,1981,0.2530
Joypurhat,2,1118,0.1792
Khagrachari,8,704,1.1494
Khulna,19,6519,0.2923
Kishoreganj,0,2895,0.0000
Kurigram,0,914,0.0000
Kushtia,7,3362,0.2086
Laksmipur,2,2160,0.0927
Lalmonirhat,0,885,0.0000
Madaripur,0,1479,0.0000
Magura,2,930,0.2155
Manikganj,0,1527,0.0000
Moulvibazar,10,1742,0.5774
Meherpur,1,634,0.1580
Munshigonj,0,3555,0.0000
Mymensingh,5,3749,0.1335
Naogaon,5,1336,0.3757
Narail,4,1372,0.2924
Narayanganj,24,6923,0.3479
Narshingdi,4,2381,0.1683
Natore,6,1021,0.5911
Netrokona,2,724,0.2770
Nilphamari,0,1100,0.0000
Noakhali,3,5030,0.0597
Pabna,1,1177,0.0850
Panchagarh,0,641,0.0000
Patuakhali,0,1455,0.0000
Pirojpur,0,1094,0.0000
Rajbari,0,3113,0.0000
Rajshahi,4,5037,0.0795
Rangamati,1,916,0.1093
Rangpur,0,2909,0.0000
Satkhira,2,1107,0.1810
Shariatpur,0,1728,0.0000
Sherpur,0,484,0.0000
Sirajganj,1,2201,0.0455
Sunamganj,3,2371,0.1267
Sylhet,43,7169,0.6034
Tangail,4,3210,0.1248
Thakurgaon,0,1167,0.0000
